State,Year,Quarter,Registered_Users,AppOpenings
chhattisgarh,2022,1,5916961,448503438
chhattisgarh,2022,2,6238349,501411120
chhattisgarh,2022,3,6562237,543206487
chhattisgarh,2022,4,6846822,354976814
dadra-&-nagar-haveli-&-daman-&-diu,2018,1,53258,0
dadra-&-nagar-haveli-&-daman-&-diu,2018,2,71458,0
dadra-&-nagar-haveli-&-daman-&-diu,2018,3,92107,0
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,116511,0
dadra-&-nagar-haveli-&-daman-&-diu,2019,1,140532,0
dadra-&-nagar-haveli-&-daman-&-diu,2019,2,158580,860686
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,176929,3126189
dadra-&-nagar-haveli-&-daman-&-diu,2019,4,197598,3770543
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,218496,4195122
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,244814,4505127
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,267946,4421499
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,296493,6196436
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,321396,7302462
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,344994,5062983
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,371874,7162734
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,398963,15009455
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,424570,3910792
dadra-&-nagar-haveli-&-daman-&-diu,2022,2,449016,3886292
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,474807,3837881
dadra-&-nagar-haveli-&-daman-&-diu,2022,4,500125,24066770
delhi,2018,1,2087022,0
delhi,2018,2,2756141,0
delhi,2018,3,3504911,0
delhi,2018,4,4630313,0
delhi,2019,1,5499263,0
delhi,2019,2,6165448,43731570
delhi,2019,3,6782286,163381027
delhi,2019,4,7289883,172682671
delhi,2020,1,7826197,178263986
delhi,2020,2,8391139,142852253
delhi,2020,3,9044174,190025029
delhi,2020,4,9747968,243433752
delhi,2021,1,10467210,281201600
delhi,2021,2,11182699,164997774
delhi,2021,3,11980061,223844376
delhi,2021,4,12785127,345669353
delhi,2022,1,13539197,57524153
delhi,2022,2,14260143,52553080
delhi,2022,3,15009523,49919498
delhi,2022,4,15764149,401864749
goa,2018,1,91936,0
goa,2018,2,122174,0
goa,2018,3,153802,0
goa,2018,4,195350,0
goa,2019,1,238152,0
goa,2019,2,278940,1352232
goa,2019,3,317194,4753892
goa,2019,4,353546,6290543
goa,2020,1,391900,7147233
goa,2020,2,430639,5310126
goa,2020,3,474962,6129766
goa,2020,4,527584,10991118
goa,2021,1,570035,15467672
goa,2021,2,609106,12710361
goa,2021,3,653458,16575111
goa,2021,4,697178,28288254
goa,2022,1,738628,18678798
goa,2022,2,777779,19062157
goa,2022,3,817830,19712764
goa,2022,4,855202,43005212
gujarat,2018,1,2690048,0
gujarat,2018,2,3565825,0
gujarat,2018,3,4433183,0
gujarat,2018,4,5579040,0
gujarat,2019,1,6652536,0
gujarat,2019,2,7574645,34890301
gujarat,2019,3,8429299,129441484
gujarat,2019,4,9323799,147973757
gujarat,2020,1,10259843,165605122
gujarat,2020,2,11392657,155264359
gujarat,2020,3,12467847,184402472
gujarat,2020,4,13605203,230497353
gujarat,2021,1,14670126,264732874
gujarat,2021,2,15735981,282432543
gujarat,2021,3,16946761,379987151
gujarat,2021,4,18139201,487846209
gujarat,2022,1,19265314,521776939
gujarat,2022,2,20321596,609943436
gujarat,2022,3,21394721,699121904
gujarat,2022,4,22412353,790984595
haryana,2018,1,1847357,0
haryana,2018,2,2447221,0
haryana,2018,3,3020398,0
haryana,2018,4,3793079,0
haryana,2019,1,4538767,0
haryana,2019,2,5178030,31929195
haryana,2019,3,5783752,118332587
haryana,2019,4,6366679,136721888
haryana,2020,1,7018770,157793468
haryana,2020,2,7682878,143650123
haryana,2020,3,8398816,188614769
haryana,2020,4,9129873,236101307
haryana,2021,1,9827905,266686683
haryana,2021,2,10530594,234052506
haryana,2021,3,11325336,296884105
haryana,2021,4,12116439,442176987
haryana,2022,1,12866988,217228467
haryana,2022,2,13576065,236091309
haryana,2022,3,14303933,265475161
haryana,2022,4,14994944,556898878
himachal-pradesh,2018,1,227373,0
himachal-pradesh,2018,2,315299,0
himachal-pradesh,2018,3,407634,0
himachal-pradesh,2018,4,526343,0
himachal-pradesh,2019,1,653205,0
himachal-pradesh,2019,2,772603,3321711
himachal-pradesh,2019,3,876184,10720741
himachal-pradesh,2019,4,985945,12637904
himachal-pradesh,2020,1,1106025,14640104
himachal-pradesh,2020,2,1249867,16125580
himachal-pradesh,2020,3,1378634,18411750
himachal-pradesh,2020,4,1508766,22001148
himachal-pradesh,2021,1,1622951,24228094
himachal-pradesh,2021,2,1743151,43269977
himachal-pradesh,2021,3,1880626,52970288
himachal-pradesh,2021,4,2013747,47670982
himachal-pradesh,2022,1,2143483,77278278
himachal-pradesh,2022,2,2264407,102488683
himachal-pradesh,2022,3,2381576,108832538
himachal-pradesh,2022,4,2483076,72355717
india,2018,1,46877867,0
india,2018,2,63648311,0
india,2018,3,80010952,0
india,2018,4,102262055,0
india,2019,1,123432699,0
india,2019,2,141808226,920413791
india,2019,3,159293934,3448366103
india,2019,4,178279085,4301071954
india,2020,1,197575164,4768944662
india,2020,2,218996326,4357634272
india,2020,3,241169683,5739326491
india,2020,4,264271293,7461623162
india,2021,1,284985430,8635508502
india,2021,2,305258086,9630620549
india,2021,3,328354923,12256377890
india,2021,4,351161395,15172529039
india,2022,1,372951831,15724195113
india,2022,2,393424643,17786667567
india,2022,3,414324881,19223454074
india,2022,4,433947940,21262699669
jammu-&-kashmir,2018,1,176425,0
jammu-&-kashmir,2018,2,261609,0
jammu-&-kashmir,2018,3,342529,0
jammu-&-kashmir,2018,4,436563,0
jammu-&-kashmir,2019,1,530669,0
jammu-&-kashmir,2019,2,631193,2705373
jammu-&-kashmir,2019,3,658455,3843919
jammu-&-kashmir,2019,4,673367,998572
jammu-&-kashmir,2020,1,735408,4476894
jammu-&-kashmir,2020,2,845294,9856653
jammu-&-kashmir,2020,3,949819,11443454
jammu-&-kashmir,2020,4,1079022,16018751
jammu-&-kashmir,2021,1,1174818,18834009
jammu-&-kashmir,2021,2,1261267,34274559
jammu-&-kashmir,2021,3,1359860,45025197
jammu-&-kashmir,2021,4,1456810,36012148
jammu-&-kashmir,2022,1,1549320,62115857
jammu-&-kashmir,2022,2,1635570,89986310
jammu-&-kashmir,2022,3,1719185,109346235
jammu-&-kashmir,2022,4,1793434,60205865
jharkhand,2018,1,885762,0
jharkhand,2018,2,1230599,0
jharkhand,2018,3,1532362,0
jharkhand,2018,4,1913949,0
jharkhand,2019,1,2279329,0
jharkhand,2019,2,2604854,14929066
jharkhand,2019,3,2915511,55504460
jharkhand,2019,4,3281371,70181789
jharkhand,2020,1,3651393,74014713
jharkhand,2020,2,4061035,76339276
jharkhand,2020,3,4480027,99318784
jharkhand,2020,4,4917938,126310835
jharkhand,2021,1,5313049,141731331
jharkhand,2021,2,5701503,184234107
jharkhand,2021,3,6151843,230475998
jharkhand,2021,4,6596196,284960009
jharkhand,2022,1,7025275,331355981
jharkhand,2022,2,7426174,379053485
jharkhand,2022,3,7836429,414228860
jharkhand,2022,4,8217638,396098729
karnataka,2018,1,3717763,0
karnataka,2018,2,5030665,0
karnataka,2018,3,6372649,0
karnataka,2018,4,8315802,0
karnataka,2019,1,10266174,0
karnataka,2019,2,11968087,113024811
karnataka,2019,3,13635075,445683660
karnataka,2019,4,15385416,569674870
karnataka,2020,1,17016980,626488036
karnataka,2020,2,18655366,490510075
karnataka,2020,3,20487550,693683212
karnataka,2020,4,22400182,935510690
karnataka,2021,1,24095832,1084917385
karnataka,2021,2,25751023,1051089714
karnataka,2021,3,27614221,1366781087
karnataka,2021,4,29459646,1941558513
karnataka,2022,1,31200349,1727054045
karnataka,2022,2,32831447,2065359837
karnataka,2022,3,34493994,2148016434
karnataka,2022,4,36081698,3011645011
kerala,2018,1,784184,0
kerala,2018,2,1066587,0
kerala,2018,3,1347598,0
kerala,2018,4,1757326,0
kerala,2019,1,2136624,0
kerala,2019,2,2550167,8673220
kerala,2019,3,2990963,31471694
kerala,2019,4,3503938,40046033
kerala,2020,1,4078316,46396398
kerala,2020,2,4728844,45832953
kerala,2020,3,5582300,64309022
kerala,2020,4,6387169,91415273
kerala,2021,1,6936943,108918733
kerala,2021,2,7416083,87814415
kerala,2021,3,7949425,116282717
kerala,2021,4,8473810,213542857
kerala,2022,1,8972299,94047893
kerala,2022,2,9442533,98876392
kerala,2022,3,9933977,104565833
kerala,2022,4,10382102,346981849
ladakh,2018,1,8784,0
ladakh,2018,2,12918,0
ladakh,2018,3,17749,0
ladakh,2018,4,23883,0
ladakh,2019,1,29649,0
ladakh,2019,2,35516,157317
ladakh,2019,3,39173,503126
ladakh,2019,4,43108,470440
ladakh,2020,1,47790,590484
ladakh,2020,2,53034,695673
ladakh,2020,3,58401,1015680
ladakh,2020,4,64853,1232757
ladakh,2021,1,69919,1184204
ladakh,2021,2,75048,4391632
ladakh,2021,3,81210,7099550
ladakh,2021,4,87057,2665203
ladakh,2022,1,92492,8902080
ladakh,2022,2,97517,14768129
ladakh,2022,3,102299,19734781
ladakh,2022,4,106337,3832339
lakshadweep,2018,1,501,0
lakshadweep,2018,2,686,0
lakshadweep,2018,3,918,0
lakshadweep,2018,4,1156,0
lakshadweep,2019,1,1416,0
lakshadweep,2019,2,1747,4580
lakshadweep,2019,3,2117,15038
lakshadweep,2019,4,2427,17760
lakshadweep,2020,1,2772,21982
lakshadweep,2020,2,3187,29202
lakshadweep,2020,3,3644,32128
lakshadweep,2020,4,4179,41144
lakshadweep,2021,1,4577,47283
lakshadweep,2021,2,4896,40301
lakshadweep,2021,3,5287,49127
lakshadweep,2021,4,5638,67320
lakshadweep,2022,1,5990,45410
lakshadweep,2022,2,6327,38450
lakshadweep,2022,3,6645,18111
lakshadweep,2022,4,6961,72377
madhya-pradesh,2018,1,2553603,0
madhya-pradesh,2018,2,3441662,0
madhya-pradesh,2018,3,4309309,0
madhya-pradesh,2018,4,5365442,0
madhya-pradesh,2019,1,6414403,0
madhya-pradesh,2019,2,7301172,50642151
madhya-pradesh,2019,3,8180664,192353380
madhya-pradesh,2019,4,9165241,237844976
madhya-pradesh,2020,1,10151371,262452480
madhya-pradesh,2020,2,11374423,253770044
madhya-pradesh,2020,3,12564224,324850994
madhya-pradesh,2020,4,13737947,405571446
madhya-pradesh,2021,1,14839427,482500276
madhya-pradesh,2021,2,15940935,727741649
madhya-pradesh,2021,3,17210233,929572924
madhya-pradesh,2021,4,18456243,956630781
madhya-pradesh,2022,1,19656147,1678266475
madhya-pradesh,2022,2,20766417,1902866132
madhya-pradesh,2022,3,21884220,2026371749
madhya-pradesh,2022,4,22913924,1388282818
maharashtra,2018,1,6106994,0
maharashtra,2018,2,8222371,0
maharashtra,2018,3,10435033,0
maharashtra,2018,4,13381602,0
maharashtra,2019,1,16284451,0
maharashtra,2019,2,18776975,109967705
maharashtra,2019,3,21313081,439998413
maharashtra,2019,4,23745297,543654112
maharashtra,2020,1,26168390,615146568
maharashtra,2020,2,28765086,506354812
maharashtra,2020,3,31409513,668197101
maharashtra,2020,4,34432631,952006770
maharashtra,2021,1,37077537,1101976484
maharashtra,2021,2,39664697,1208083592
maharashtra,2021,3,42581217,1565370852
maharashtra,2021,4,45482506,2031739248
maharashtra,2022,1,48227630,2157769514
maharashtra,2022,2,50802786,2492946019
maharashtra,2022,3,53432602,2638663712
maharashtra,2022,4,55954028,2982202696
manipur,2018,1,29925,0
manipur,2018,2,46055,0
manipur,2018,3,61935,0
manipur,2018,4,82589,0
manipur,2019,1,99527,0
manipur,2019,2,117747,464829
manipur,2019,3,136316,1594205
manipur,2019,4,155358,1855488
manipur,2020,1,177374,2175642
manipur,2020,2,215496,3011491
manipur,2020,3,258563,3552375
manipur,2020,4,288772,3783432
manipur,2021,1,312668,3709227
manipur,2021,2,335409,7269002
manipur,2021,3,361749,9743772
manipur,2021,4,387746,7603294
manipur,2022,1,411900,22637747
manipur,2022,2,434563,26236900
manipur,2022,3,457063,26011343
manipur,2022,4,477292,12462732
meghalaya,2018,1,18513,0
meghalaya,2018,2,26618,0
meghalaya,2018,3,37281,0
meghalaya,2018,4,49634,0
meghalaya,2019,1,61487,0
meghalaya,2019,2,74746,395764
meghalaya,2019,3,87395,1387814
meghalaya,2019,4,100030,1490542
meghalaya,2020,1,113814,1716211
meghalaya,2020,2,136211,2205253
meghalaya,2020,3,157741,2384534
meghalaya,2020,4,176447,2745917
meghalaya,2021,1,190869,2939026
meghalaya,2021,2,205686,7290804
meghalaya,2021,3,223065,9952956
meghalaya,2021,4,240268,6048594
meghalaya,2022,1,255839,23634106
meghalaya,2022,2,269943,27458992
meghalaya,2022,3,283487,32596135
meghalaya,2022,4,295322,10105924
mizoram,2018,1,7593,0
mizoram,2018,2,10422,0
mizoram,2018,3,14502,0
mizoram,2018,4,19365,0
mizoram,2019,1,23670,0
mizoram,2019,2,28696,133025
mizoram,2019,3,34134,457834
mizoram,2019,4,39809,529168
mizoram,2020,1,46499,644683
mizoram,2020,2,55574,739308
mizoram,2020,3,68315,924865
mizoram,2020,4,78731,1096182
mizoram,2021,1,85750,1193214
mizoram,2021,2,92552,4014597
mizoram,2021,3,100647,5385718
mizoram,2021,4,108405,2094118
mizoram,2022,1,115295,14886657
mizoram,2022,2,121535,16646550
mizoram,2022,3,127735,15557163
mizoram,2022,4,132870,3144551
nagaland,2018,1,15074,0
nagaland,2018,2,22436,0
nagaland,2018,3,32090,0
nagaland,2018,4,42997,0
nagaland,2019,1,53911,0
nagaland,2019,2,66891,362497
nagaland,2019,3,80077,1244022
nagaland,2019,4,93124,1454551
nagaland,2020,1,107143,1684520
nagaland,2020,2,130205,2119279
nagaland,2020,3,173106,2868642
nagaland,2020,4,192188,2922121
nagaland,2021,1,207808,2980581
nagaland,2021,2,223337,6716892
nagaland,2021,3,241797,8661991
nagaland,2021,4,259990,6383337
nagaland,2022,1,276483,24206053
nagaland,2022,2,292104,28652431
nagaland,2022,3,307386,31229366
nagaland,2022,4,321205,11171582
odisha,2018,1,1594015,0
odisha,2018,2,2185781,0
odisha,2018,3,2795718,0
odisha,2018,4,3623911,0
odisha,2019,1,4320744,0
odisha,2019,2,4845359,33955545
odisha,2019,3,5387209,130181456
odisha,2019,4,6115537,189905719
odisha,2020,1,6652970,175918622
odisha,2020,2,7258315,154682772
odisha,2020,3,7901755,205597666
odisha,2020,4,8598751,270085293
odisha,2021,1,9233009,301315474
odisha,2021,2,9891029,367576494
odisha,2021,3,10652490,492879704
odisha,2021,4,11399235,567351446
odisha,2022,1,12124779,613855465
odisha,2022,2,12801990,670311093
odisha,2022,3,13493282,725475924
odisha,2022,4,14127239,726099254
puducherry,2018,1,49318,0
puducherry,2018,2,65580,0
puducherry,2018,3,81546,0
puducherry,2018,4,109494,0
puducherry,2019,1,133059,0
puducherry,2019,2,156458,661932
puducherry,2019,3,177868,2476922
puducherry,2019,4,204292,3263122
puducherry,2020,1,230908,3820943
puducherry,2020,2,255600,3057608
puducherry,2020,3,285173,4222159
puducherry,2020,4,319626,6377136
puducherry,2021,1,346279,7914507
puducherry,2021,2,369961,5178916
puducherry,2021,3,396609,6899592
puducherry,2021,4,423167,14257568
puducherry,2022,1,448051,3938657
puducherry,2022,2,471663,3830290
puducherry,2022,3,496570,4186911
puducherry,2022,4,520649,24144184
punjab,2018,1,847142,0
punjab,2018,2,1152190,0
punjab,2018,3,1473148,0
punjab,2018,4,1865715,0
punjab,2019,1,2226590,0
punjab,2019,2,2600112,10928094
punjab,2019,3,2962713,40860886
punjab,2019,4,3321742,47673880
punjab,2020,1,3739502,53853710
punjab,2020,2,4225481,51289576
punjab,2020,3,4694233,58946732
punjab,2020,4,5157868,71191183
punjab,2021,1,5568777,81052268
punjab,2021,2,5976548,85894089
punjab,2021,3,6434862,107614155
punjab,2021,4,6880103,138427499
punjab,2022,1,7302726,117482807
punjab,2022,2,7702100,138965337
punjab,2022,3,8097582,154625731
punjab,2022,4,8462753,199899443
rajasthan,2018,1,3158202,0
rajasthan,2018,2,4212964,0
rajasthan,2018,3,5175453,0
rajasthan,2018,4,6358738,0
rajasthan,2019,1,7712204,0
rajasthan,2019,2,8783935,62787336
rajasthan,2019,3,9797304,238338999
rajasthan,2019,4,10925031,288904693
rajasthan,2020,1,12142053,341815756
rajasthan,2020,2,13563201,329941181
rajasthan,2020,3,14969412,436682870
rajasthan,2020,4,16329494,511015109
rajasthan,2021,1,17661088,632535059
rajasthan,2021,2,18980985,1072091232
rajasthan,2021,3,20499465,1429553825
rajasthan,2021,4,21977202,1185124031
rajasthan,2022,1,23398857,2570606469
rajasthan,2022,2,24716181,2771434947
rajasthan,2022,3,26042948,3299787866
rajasthan,2022,4,27255927,1537424924
sikkim,2018,1,20051,0
sikkim,2018,2,28097,0
sikkim,2018,3,37637,0
sikkim,2018,4,48538,0
sikkim,2019,1,58956,0
sikkim,2019,2,70999,398520
sikkim,2019,3,82128,1316804
sikkim,2019,4,92972,1552004
sikkim,2020,1,104631,1697163
sikkim,2020,2,119921,1912335
sikkim,2020,3,134773,2156470
sikkim,2020,4,148543,2478670
sikkim,2021,1,160213,2795331
sikkim,2021,2,171740,4541121
sikkim,2021,3,184693,5714565
sikkim,2021,4,197407,5525552
sikkim,2022,1,209616,12440193
sikkim,2022,2,220994,16993937
sikkim,2022,3,232025,18748536
sikkim,2022,4,241968,8948864
tamil-nadu,2018,1,2104754,0
tamil-nadu,2018,2,2996036,0
tamil-nadu,2018,3,3900177,0
tamil-nadu,2018,4,5199878,0
tamil-nadu,2019,1,6296303,0
tamil-nadu,2019,2,7429609,33658961
tamil-nadu,2019,3,8428835,124690342
tamil-nadu,2019,4,9620493,155011717
tamil-nadu,2020,1,10872368,179908753
tamil-nadu,2020,2,12150786,144907447
tamil-nadu,2020,3,13643451,194683284
tamil-nadu,2020,4,15357586,288233552
tamil-nadu,2021,1,16632608,348801714
tamil-nadu,2021,2,17804542,343968474
tamil-nadu,2021,3,19127440,459826734
tamil-nadu,2021,4,20433142,685861440
tamil-nadu,2022,1,21667020,638490275
tamil-nadu,2022,2,22829720,740265406
tamil-nadu,2022,3,24019964,866738343
tamil-nadu,2022,4,25136112,1229187623
telangana,2018,1,3315560,0
telangana,2018,2,4260115,0
telangana,2018,3,5138501,0
telangana,2018,4,6529679,0
telangana,2019,1,7963425,0
telangana,2019,2,9046007,80842302
telangana,2019,3,10090557,318124511
telangana,2019,4,11220691,399239044
telangana,2020,1,12306860,454723816
telangana,2020,2,13378191,367130505
telangana,2020,3,14590882,527781925
telangana,2020,4,15927797,764614235
telangana,2021,1,17149069,920040042
telangana,2021,2,18306880,905317692
telangana,2021,3,19615278,1107529197
telangana,2021,4,20917649,1407599392
telangana,2022,1,22150612,1168864524
telangana,2022,2,23314363,1276259370
telangana,2022,3,24506111,1255597644
telangana,2022,4,25656381,1731228513
tripura,2018,1,55157,0
tripura,2018,2,83369,0
tripura,2018,3,116874,0
tripura,2018,4,153265,0
tripura,2019,1,183254,0
tripura,2019,2,217644,953627
tripura,2019,3,245456,3350991
tripura,2019,4,272298,3610807
tripura,2020,1,299962,4063223
tripura,2020,2,336666,4443221
tripura,2020,3,376731,5777908
tripura,2020,4,409110,6017249
tripura,2021,1,439636,6009660
tripura,2021,2,472153,9500881
tripura,2021,3,509929,12279146
tripura,2021,4,546292,10728702
tripura,2022,1,582124,19322963
tripura,2022,2,615782,21343111
tripura,2022,3,649143,24123569
tripura,2022,4,678741,16107610
uttar-pradesh,2018,1,4694250,0
uttar-pradesh,2018,2,6442554,0
uttar-pradesh,2018,3,8096483,0
uttar-pradesh,2018,4,10341964,0
uttar-pradesh,2019,1,12458661,0
uttar-pradesh,2019,2,14316349,78394040
uttar-pradesh,2019,3,16044607,268142606
uttar-pradesh,2019,4,17949542,324068625
uttar-pradesh,2020,1,20136256,374282083
uttar-pradesh,2020,2,22498519,383703534
uttar-pradesh,2020,3,24838116,450784508
uttar-pradesh,2020,4,27249134,552220798
uttar-pradesh,2021,1,29482075,639718324
uttar-pradesh,2021,2,31651894,673598864
uttar-pradesh,2021,3,34151882,803890116
uttar-pradesh,2021,4,36617655,1175923794
uttar-pradesh,2022,1,38999692,836926025
uttar-pradesh,2022,2,41247289,947480495
uttar-pradesh,2022,3,43537920,1035702397
uttar-pradesh,2022,4,45648650,1682003791
uttarakhand,2018,1,483043,0
uttarakhand,2018,2,649142,0
uttarakhand,2018,3,810612,0
uttarakhand,2018,4,1012103,0
uttarakhand,2019,1,1224955,0
uttarakhand,2019,2,1414339,7454279
uttarakhand,2019,3,1585859,24660988
uttarakhand,2019,4,1752677,28853867
uttarakhand,2020,1,1943606,32631265
uttarakhand,2020,2,2148567,31074793
uttarakhand,2020,3,2365438,40377348
uttarakhand,2020,4,2596244,52564888
uttarakhand,2021,1,2802122,59282260
uttarakhand,2021,2,3004040,78380036
uttarakhand,2021,3,3233509,90886530
uttarakhand,2021,4,3460015,110928354
uttarakhand,2022,1,3674829,115224382
uttarakhand,2022,2,3877056,156465685
uttarakhand,2022,3,4081976,152803850
uttarakhand,2022,4,4272049,160685547
west-bengal,2018,1,2604789,0
west-bengal,2018,2,3833795,0
west-bengal,2018,3,4851740,0
west-bengal,2018,4,6279278,0
west-bengal,2019,1,7449425,0
west-bengal,2019,2,8612795,49514201
west-bengal,2019,3,9643222,176559011
west-bengal,2019,4,10885058,244326613
west-bengal,2020,1,11960822,207068218
west-bengal,2020,2,13222022,198589332
west-bengal,2020,3,14448366,246554831
west-bengal,2020,4,15662093,291721919
west-bengal,2021,1,16808799,316832674
west-bengal,2021,2,17979979,275341466
west-bengal,2021,3,19323278,348588666
west-bengal,2021,4,20644527,512335839
west-bengal,2022,1,21919787,236131065
west-bengal,2022,2,23124388,250276369
west-bengal,2022,3,24372048,256445748
west-bengal,2022,4,25536381,678066327
