S.no,District,Transaction_count,Transaction_amount,Quarter,Year,State
119,anantapur district,3891336,6044730653,1,2019,andhra-pradesh
120,ysr district,2852197,4915811594,1,2019,andhra-pradesh
121,west godavari district,2829437,4623764455,1,2019,andhra-pradesh
122,kurnool district,4193432,5541564893,1,2019,andhra-pradesh
123,chittoor district,6486813,8223371732,1,2019,andhra-pradesh
124,guntur district,4846553,7765934169,1,2019,andhra-pradesh
125,krishna district,5443981,9061346433,1,2019,andhra-pradesh
126,east godavari district,4699261,9116404622,2,2019,andhra-pradesh
127,srikakulam district,2019203,4066576540,2,2019,andhra-pradesh
128,spsr nellore district,3141891,6880873007,2,2019,andhra-pradesh
129,vizianagaram district,2272320,4443041665,2,2019,andhra-pradesh
130,visakhapatnam district,11705738,20797479804,2,2019,andhra-pradesh
131,prakasam district,2670529,6262396448,2,2019,andhra-pradesh
132,anantapur district,3578836,7830782361,2,2019,andhra-pradesh
133,ysr district,2606284,6376856828,2,2019,andhra-pradesh
134,west godavari district,2402074,5676818259,2,2019,andhra-pradesh
135,kurnool district,3895824,7358285187,2,2019,andhra-pradesh
136,chittoor district,5983308,10982727976,2,2019,andhra-pradesh
137,guntur district,5005275,10405246943,2,2019,andhra-pradesh
138,krishna district,6428472,13437029116,2,2019,andhra-pradesh
139,east godavari district,6537303,11387726471,3,2019,andhra-pradesh
140,srikakulam district,2556296,4610131290,3,2019,andhra-pradesh
141,spsr nellore district,4150195,8256600119,3,2019,andhra-pradesh
142,vizianagaram district,2861581,4922069039,3,2019,andhra-pradesh
143,visakhapatnam district,16694947,26944837120,3,2019,andhra-pradesh
144,prakasam district,3430750,7354502261,3,2019,andhra-pradesh
145,anantapur district,4889720,9554081289,3,2019,andhra-pradesh
146,ysr district,3296586,7447544274,3,2019,andhra-pradesh
147,west godavari district,3179541,6627629029,3,2019,andhra-pradesh
148,kurnool district,5139134,9025632779,3,2019,andhra-pradesh
149,chittoor district,8201783,13837455759,3,2019,andhra-pradesh
150,guntur district,6942304,13075661264,3,2019,andhra-pradesh
151,krishna district,8408474,16404073561,3,2019,andhra-pradesh
152,east godavari district,9285739,16816774065,4,2019,andhra-pradesh
153,srikakulam district,3712555,6832369302,4,2019,andhra-pradesh
154,spsr nellore district,5877804,11786014089,4,2019,andhra-pradesh
155,vizianagaram district,3998234,7175851807,4,2019,andhra-pradesh
156,visakhapatnam district,23594874,39133296330,4,2019,andhra-pradesh
157,prakasam district,4865473,10604077825,4,2019,andhra-pradesh
158,anantapur district,6764112,13887248889,4,2019,andhra-pradesh
159,ysr district,4793157,10865073856,4,2019,andhra-pradesh
160,west godavari district,4596479,9710614747,4,2019,andhra-pradesh
161,kurnool district,7001958,13233105729,4,2019,andhra-pradesh
162,chittoor district,11246986,19298476028,4,2019,andhra-pradesh
163,guntur district,9761330,18565626418,4,2019,andhra-pradesh
164,krishna district,11719402,23039786404,4,2019,andhra-pradesh
165,east godavari district,11346242,21854701379,1,2020,andhra-pradesh
166,srikakulam district,4835092,9777575594,1,2020,andhra-pradesh
167,spsr nellore district,7430247,15387829694,1,2020,andhra-pradesh
168,vizianagaram district,5042066,9879174241,1,2020,andhra-pradesh
169,visakhapatnam district,27115031,48809747615,1,2020,andhra-pradesh
170,prakasam district,6318396,14169104765,1,2020,andhra-pradesh
171,anantapur district,8466129,17864325753,1,2020,andhra-pradesh
172,ysr district,6031255,14059924637,1,2020,andhra-pradesh
173,west godavari district,5919670,12995834341,1,2020,andhra-pradesh
174,kurnool district,8246869,17022710312,1,2020,andhra-pradesh
175,chittoor district,13257740,23441848567,1,2020,andhra-pradesh
176,guntur district,11493331,22992734621,1,2020,andhra-pradesh
177,krishna district,12175289,24481702771,1,2020,andhra-pradesh
178,east godavari district,13130334,26319906327,2,2020,andhra-pradesh
179,srikakulam district,6425515,12153650077,2,2020,andhra-pradesh
180,spsr nellore district,9454274,20665376461,2,2020,andhra-pradesh
181,vizianagaram district,6690313,12819344390,2,2020,andhra-pradesh
182,visakhapatnam district,25300401,48293889917,2,2020,andhra-pradesh
183,prakasam district,8844580,19846026727,2,2020,andhra-pradesh
184,anantapur district,10473739,22094006659,2,2020,andhra-pradesh
185,ysr district,8033609,19597207268,2,2020,andhra-pradesh
186,west godavari district,7273096,16585866855,2,2020,andhra-pradesh
187,kurnool district,9821381,22419372062,2,2020,andhra-pradesh
188,chittoor district,14848197,27361300300,2,2020,andhra-pradesh
189,guntur district,12308707,27463593608,2,2020,andhra-pradesh
190,krishna district,12313709,26964149095,2,2020,andhra-pradesh
191,east godavari district,17972431,39300043805,3,2020,andhra-pradesh
192,srikakulam district,8286289,18029574581,3,2020,andhra-pradesh
193,spsr nellore district,16468209,39128324534,3,2020,andhra-pradesh
194,vizianagaram district,8236703,17567816577,3,2020,andhra-pradesh
195,visakhapatnam district,34421299,67628440368,3,2020,andhra-pradesh
196,prakasam district,12266310,31221704852,3,2020,andhra-pradesh
197,anantapur district,14447683,34102037973,3,2020,andhra-pradesh
198,ysr district,11934653,32037007334,3,2020,andhra-pradesh
199,west godavari district,10412351,25408608726,3,2020,andhra-pradesh
200,kurnool district,13243292,32529351107,3,2020,andhra-pradesh
201,chittoor district,20501863,42811566246,3,2020,andhra-pradesh
202,guntur district,17601395,42531195810,3,2020,andhra-pradesh
203,krishna district,19110457,44788458672,3,2020,andhra-pradesh
204,east godavari district,25989490,58732615663,4,2020,andhra-pradesh
205,srikakulam district,11092184,25222520275,4,2020,andhra-pradesh
206,spsr nellore district,20934374,49115443663,4,2020,andhra-pradesh
207,vizianagaram district,10580824,24094847668,4,2020,andhra-pradesh
208,visakhapatnam district,46551467,91879823025,4,2020,andhra-pradesh
209,prakasam district,16176867,41852443494,4,2020,andhra-pradesh
210,anantapur district,20996384,49732610814,4,2020,andhra-pradesh
211,ysr district,15676878,42572974713,4,2020,andhra-pradesh
212,west godavari district,15674762,40310975763,4,2020,andhra-pradesh
213,kurnool district,18737323,44718203115,4,2020,andhra-pradesh
214,chittoor district,29590411,61505711150,4,2020,andhra-pradesh
215,guntur district,26136538,60641872021,4,2020,andhra-pradesh
216,krishna district,27981050,64461504668,4,2020,andhra-pradesh
217,east godavari district,26190701,60027984988,1,2021,andhra-pradesh
218,srikakulam district,11160473,26486623313,1,2021,andhra-pradesh
219,spsr nellore district,22541428,52210333202,1,2021,andhra-pradesh
220,vizianagaram district,10514582,24153782497,1,2021,andhra-pradesh
221,visakhapatnam district,48248923,95308386038,1,2021,andhra-pradesh
222,prakasam district,15175395,41396223622,1,2021,andhra-pradesh
223,anantapur district,20102957,48353870395,1,2021,andhra-pradesh
224,ysr district,15374473,42570919449,1,2021,andhra-pradesh
225,west godavari district,16015685,42124030669,1,2021,andhra-pradesh
226,kurnool district,17918524,44941629660,1,2021,andhra-pradesh
227,chittoor district,29342609,60947491847,1,2021,andhra-pradesh
228,guntur district,27445045,64207987853,1,2021,andhra-pradesh
229,krishna district,29717175,69715406645,1,2021,andhra-pradesh
230,east godavari district,31717908,74604325864,2,2021,andhra-pradesh
231,srikakulam district,13546232,32298129545,2,2021,andhra-pradesh
232,spsr nellore district,30290406,72283071757,2,2021,andhra-pradesh
233,vizianagaram district,12689494,29140685237,2,2021,andhra-pradesh
234,visakhapatnam district,54390299,1.14E+11,2,2021,andhra-pradesh
235,prakasam district,19944047,54535328043,2,2021,andhra-pradesh
236,anantapur district,25123346,60987487571,2,2021,andhra-pradesh
237,ysr district,18457361,52523527031,2,2021,andhra-pradesh
238,west godavari district,20950964,57233116236,2,2021,andhra-pradesh
239,kurnool district,21972396,56659287475,2,2021,andhra-pradesh
240,chittoor district,34344902,73654690122,2,2021,andhra-pradesh
241,guntur district,32968819,82356914464,2,2021,andhra-pradesh
242,krishna district,36370960,90021923050,2,2021,andhra-pradesh
243,east godavari district,39572714,89380370073,3,2021,andhra-pradesh
244,srikakulam district,15639768,34836400770,3,2021,andhra-pradesh
245,spsr nellore district,34411958,77839676988,3,2021,andhra-pradesh
246,vizianagaram district,14510005,31383541628,3,2021,andhra-pradesh
247,visakhapatnam district,69220981,1.37E+11,3,2021,andhra-pradesh
248,prakasam district,24116580,63367713447,3,2021,andhra-pradesh
249,anantapur district,30366444,70291248156,3,2021,andhra-pradesh
250,ysr district,22439316,60683557725,3,2021,andhra-pradesh
251,west godavari district,26245039,66647238455,3,2021,andhra-pradesh
252,kurnool district,26377809,62527453762,3,2021,andhra-pradesh
253,chittoor district,42628568,89371931753,3,2021,andhra-pradesh
254,guntur district,41675093,96525353090,3,2021,andhra-pradesh
255,krishna district,44828275,1.04E+11,3,2021,andhra-pradesh
256,east godavari district,48992531,1.07E+11,4,2021,andhra-pradesh
257,srikakulam district,18501857,39713657870,4,2021,andhra-pradesh
258,spsr nellore district,41921081,92256405076,4,2021,andhra-pradesh
259,vizianagaram district,17253059,36577529465,4,2021,andhra-pradesh
260,visakhapatnam district,82711538,1.60E+11,4,2021,andhra-pradesh
261,prakasam district,27858275,71323060008,4,2021,andhra-pradesh
262,anantapur district,36129136,81239787007,4,2021,andhra-pradesh
263,ysr district,26340348,69081850069,4,2021,andhra-pradesh
264,west godavari district,33235175,81292461575,4,2021,andhra-pradesh
265,kurnool district,31782248,73968947670,4,2021,andhra-pradesh
266,chittoor district,51119640,1.04E+11,4,2021,andhra-pradesh
267,guntur district,50919286,1.16E+11,4,2021,andhra-pradesh
268,krishna district,55489829,1.25E+11,4,2021,andhra-pradesh
269,east godavari district,54738830,1.21E+11,1,2022,andhra-pradesh
270,srikakulam district,20990782,46898912116,1,2022,andhra-pradesh
271,spsr nellore district,47645702,1.05E+11,1,2022,andhra-pradesh
272,vizianagaram district,19278262,41994853362,1,2022,andhra-pradesh
273,visakhapatnam district,88233362,1.70E+11,1,2022,andhra-pradesh
274,prakasam district,31340975,79494373255,1,2022,andhra-pradesh
275,anantapur district,40613148,90197023268,1,2022,andhra-pradesh
276,ysr district,29783739,78421693519,1,2022,andhra-pradesh
277,west godavari district,37271259,92397939904,1,2022,andhra-pradesh
278,kurnool district,35093633,81568420501,1,2022,andhra-pradesh
279,chittoor district,58561024,1.18E+11,1,2022,andhra-pradesh
280,guntur district,57226996,1.30E+11,1,2022,andhra-pradesh
281,krishna district,61826199,1.40E+11,1,2022,andhra-pradesh
282,east godavari district,62072845,1.36E+11,2,2022,andhra-pradesh
283,srikakulam district,23727353,53754764122,2,2022,andhra-pradesh
284,spsr nellore district,54838708,1.22E+11,2,2022,andhra-pradesh
285,vizianagaram district,21766135,47294745020,2,2022,andhra-pradesh
286,visakhapatnam district,101387402,1.93E+11,2,2022,andhra-pradesh
287,prakasam district,36163507,90435082546,2,2022,andhra-pradesh
288,anantapur district,46099366,1.02E+11,2,2022,andhra-pradesh
289,ysr district,33154559,87601310070,2,2022,andhra-pradesh
290,west godavari district,44409239,1.08E+11,2,2022,andhra-pradesh
291,kurnool district,40165692,92409350856,2,2022,andhra-pradesh
292,chittoor district,67507661,1.36E+11,2,2022,andhra-pradesh
293,guntur district,66315749,1.47E+11,2,2022,andhra-pradesh
294,krishna district,73525814,1.64E+11,2,2022,andhra-pradesh
295,east godavari district,61467134,1.30E+11,3,2022,andhra-pradesh
296,srikakulam district,22126541,46899962922,3,2022,andhra-pradesh
297,spsr nellore district,42116582,95099325968,3,2022,andhra-pradesh
298,vizianagaram district,20440645,42513313395,3,2022,andhra-pradesh
299,visakhapatnam district,97434546,1.81E+11,3,2022,andhra-pradesh
300,prakasam district,35376080,87475230073,3,2022,andhra-pradesh
301,anantapur district,45165363,97735649608,3,2022,andhra-pradesh
302,ysr district,33119038,86016932181,3,2022,andhra-pradesh
303,west godavari district,43635951,1.02E+11,3,2022,andhra-pradesh
304,kurnool district,39557913,88415335176,3,2022,andhra-pradesh
305,chittoor district,65751781,1.33E+11,3,2022,andhra-pradesh
306,guntur district,65612317,1.42E+11,3,2022,andhra-pradesh
307,krishna district,71051144,1.54E+11,3,2022,andhra-pradesh
308,east godavari district,68016055,1.37E+11,4,2022,andhra-pradesh
309,srikakulam district,23693779,47726411108,4,2022,andhra-pradesh
310,spsr nellore district,42582064,92085916181,4,2022,andhra-pradesh
311,vizianagaram district,22205190,44467386404,4,2022,andhra-pradesh
312,visakhapatnam district,103790055,1.85E+11,4,2022,andhra-pradesh
313,prakasam district,37211077,88105031866,4,2022,andhra-pradesh
314,anantapur district,48299601,1.02E+11,4,2022,andhra-pradesh
315,ysr district,35201596,87360426793,4,2022,andhra-pradesh
316,west godavari district,47919930,1.05E+11,4,2022,andhra-pradesh
317,kurnool district,43524766,94667441029,4,2022,andhra-pradesh
318,chittoor district,70322534,1.37E+11,4,2022,andhra-pradesh
319,guntur district,70723763,1.47E+11,4,2022,andhra-pradesh
320,krishna district,76526667,1.58E+11,4,2022,andhra-pradesh
321,lower dibang valley district,1356,1076236.814,1,2018,arunachal-pradesh
322,lower subansiri district,1477,3650727.894,1,2018,arunachal-pradesh
323,longding district,2321,4361531.578,1,2018,arunachal-pradesh
324,west siang district,1887,4796675.565,1,2018,arunachal-pradesh
325,kamle district,14,7971.330495,1,2018,arunachal-pradesh
326,upper siang district,126,186610.6699,1,2018,arunachal-pradesh
327,tirap district,945,1064265,1,2018,arunachal-pradesh
328,papum pare district,14224,32555848.46,1,2018,arunachal-pradesh
329,kurung kumey district,84,99416.58027,1,2018,arunachal-pradesh
330,siang district,252,339471.8043,1,2018,arunachal-pradesh
331,lower siang district,1292,2337960.715,1,2018,arunachal-pradesh
332,kra daadi district,207,495375.1455,1,2018,arunachal-pradesh
333,changlang district,3195,5380749.415,1,2018,arunachal-pradesh
334,anjaw district,0,0,1,2018,arunachal-pradesh
335,shi yomi district,0,0,1,2018,arunachal-pradesh
336,pakke kessang district,9,9131.404206,1,2018,arunachal-pradesh
337,dibang valley district,2,169.8885654,1,2018,arunachal-pradesh
338,west kameng district,5787,9540632.547,1,2018,arunachal-pradesh
339,east siang district,3286,5533620.186,1,2018,arunachal-pradesh
340,upper subansiri district,735,1358367.502,1,2018,arunachal-pradesh
341,east kameng district,529,473824.766,1,2018,arunachal-pradesh
342,lohit district,3747,11496949.55,1,2018,arunachal-pradesh
343,lepa rada district,288,403149.467,1,2018,arunachal-pradesh
344,tawang district,2334,5055665.023,1,2018,arunachal-pradesh
345,namsai district,1400,2162984.705,1,2018,arunachal-pradesh
346,lower dibang valley district,1827,2561237.506,2,2018,arunachal-pradesh
347,lower subansiri district,1666,4113742.044,2,2018,arunachal-pradesh
348,longding district,4634,10271170.17,2,2018,arunachal-pradesh
349,west siang district,2579,7610989.567,2,2018,arunachal-pradesh
350,kamle district,12,23654.05837,2,2018,arunachal-pradesh
351,upper siang district,240,494895.0928,2,2018,arunachal-pradesh
352,tirap district,1903,3126393.765,2,2018,arunachal-pradesh
353,shi yomi district,0,0,2,2018,arunachal-pradesh
354,papum pare district,25363,66520931.2,2,2018,arunachal-pradesh
355,kurung kumey district,83,123737.222,2,2018,arunachal-pradesh
356,anjaw district,7,7871.020815,2,2018,arunachal-pradesh
357,siang district,336,740232.631,2,2018,arunachal-pradesh
358,lower siang district,2292,2179451.658,2,2018,arunachal-pradesh
359,kra daadi district,247,987135.996,2,2018,arunachal-pradesh
360,changlang district,6066,13294258.5,2,2018,arunachal-pradesh
361,pakke kessang district,48,58359.57139,2,2018,arunachal-pradesh
362,dibang valley district,68,65769.20367,2,2018,arunachal-pradesh
363,west kameng district,10466,25521321.34,2,2018,arunachal-pradesh
364,east siang district,6363,15285584.2,2,2018,arunachal-pradesh
365,upper subansiri district,1285,2911910.369,2,2018,arunachal-pradesh
366,east kameng district,522,1825297.462,2,2018,arunachal-pradesh
367,lohit district,6962,20520618.88,2,2018,arunachal-pradesh
368,lepa rada district,511,731444.7371,2,2018,arunachal-pradesh
369,tawang district,5447,13722374.81,2,2018,arunachal-pradesh
370,namsai district,3230,6271811.328,2,2018,arunachal-pradesh
371,lower dibang valley district,2824,6074558.207,3,2018,arunachal-pradesh
372,lower subansiri district,2346,5154231.737,3,2018,arunachal-pradesh
373,longding district,5288,18327334.05,3,2018,arunachal-pradesh
374,west siang district,3337,12966152.79,3,2018,arunachal-pradesh
375,kamle district,93,30504.94301,3,2018,arunachal-pradesh
376,upper siang district,250,743956.1056,3,2018,arunachal-pradesh
377,tirap district,3322,7479257.008,3,2018,arunachal-pradesh
378,papum pare district,43282,101080479.3,3,2018,arunachal-pradesh
379,kurung kumey district,255,303027.4066,3,2018,arunachal-pradesh
380,anjaw district,13,95403.67678,3,2018,arunachal-pradesh
381,siang district,615,2141734.5,3,2018,arunachal-pradesh
382,lower siang district,2625,3045590.882,3,2018,arunachal-pradesh
383,shi yomi district,0,0,3,2018,arunachal-pradesh
384,kra daadi district,436,1606758.408,3,2018,arunachal-pradesh
385,changlang district,10162,20494174.95,3,2018,arunachal-pradesh
386,pakke kessang district,165,305164.8171,3,2018,arunachal-pradesh
387,dibang valley district,29,196466.667,3,2018,arunachal-pradesh
388,west kameng district,17026,48528147.45,3,2018,arunachal-pradesh
389,east siang district,10539,24885270.77,3,2018,arunachal-pradesh
390,upper subansiri district,1601,4223297.614,3,2018,arunachal-pradesh
391,east kameng district,1029,3132863.591,3,2018,arunachal-pradesh
392,lohit district,11595,32702331.66,3,2018,arunachal-pradesh
393,lepa rada district,523,1777602.437,3,2018,arunachal-pradesh
394,tawang district,8715,25733824.99,3,2018,arunachal-pradesh
395,namsai district,5076,10698272.77,3,2018,arunachal-pradesh
396,lower dibang valley district,4227,10951332.39,4,2018,arunachal-pradesh
397,lower subansiri district,3735,8884930.591,4,2018,arunachal-pradesh
398,longding district,6581,22545311.85,4,2018,arunachal-pradesh
399,west siang district,3813,14013986.24,4,2018,arunachal-pradesh
400,kamle district,247,361497.0568,4,2018,arunachal-pradesh
401,upper siang district,1041,2157332.947,4,2018,arunachal-pradesh
402,tirap district,5725,10811742.67,4,2018,arunachal-pradesh
403,papum pare district,55224,154875448.2,4,2018,arunachal-pradesh
404,kurung kumey district,444,759686.7196,4,2018,arunachal-pradesh
405,anjaw district,273,495578.1994,4,2018,arunachal-pradesh
406,siang district,822,2176630.237,4,2018,arunachal-pradesh
407,lower siang district,2883,4533291.201,4,2018,arunachal-pradesh
408,kra daadi district,750,3254327.442,4,2018,arunachal-pradesh
409,changlang district,13950,32343047.41,4,2018,arunachal-pradesh
410,pakke kessang district,297,462143.519,4,2018,arunachal-pradesh
411,dibang valley district,40,97205.28809,4,2018,arunachal-pradesh
412,west kameng district,25439,89194886.84,4,2018,arunachal-pradesh
413,shi yomi district,61,42483.80153,4,2018,arunachal-pradesh
414,east siang district,12893,34272134.34,4,2018,arunachal-pradesh
415,upper subansiri district,2686,8771042.08,4,2018,arunachal-pradesh
416,east kameng district,1750,5936855.71,4,2018,arunachal-pradesh
417,lohit district,14268,40510521.95,4,2018,arunachal-pradesh
418,lepa rada district,932,3023578.189,4,2018,arunachal-pradesh
419,tawang district,11104,35921510.89,4,2018,arunachal-pradesh
420,namsai district,7244,17643523.29,4,2018,arunachal-pradesh
421,lower dibang valley district,6314,13738776.18,1,2019,arunachal-pradesh
422,lower subansiri district,4994,12615032.12,1,2019,arunachal-pradesh
423,longding district,7287,25349462.06,1,2019,arunachal-pradesh
424,west siang district,5921,19426751.3,1,2019,arunachal-pradesh
425,kamle district,391,725807.1059,1,2019,arunachal-pradesh
426,upper siang district,1154,2756678.308,1,2019,arunachal-pradesh
427,tirap district,6877,14075747.84,1,2019,arunachal-pradesh
428,papum pare district,70941,188556716.4,1,2019,arunachal-pradesh
429,kurung kumey district,740,2076644.122,1,2019,arunachal-pradesh
430,anjaw district,2116,4643030.796,1,2019,arunachal-pradesh
431,siang district,1282,2552682.037,1,2019,arunachal-pradesh
