S.no,Brands,Count,Percentage,Quarter,Year,State
240,Huawei,220082,0.026570264,1,2019,andhra-pradesh
241,Lenovo,171471,0.02070151,1,2019,andhra-pradesh
242,Others,659126,0.079575575,1,2019,andhra-pradesh
243,Xiaomi,2389374,0.254486445,2,2019,andhra-pradesh
244,Samsung,1914378,0.20389577,2,2019,andhra-pradesh
245,Vivo,1466695,0.156214137,2,2019,andhra-pradesh
246,Oppo,963352,0.102604291,2,2019,andhra-pradesh
247,Realme,641519,0.068326637,2,2019,andhra-pradesh
248,Motorola,324778,0.034591319,2,2019,andhra-pradesh
249,Apple,264860,0.028209598,2,2019,andhra-pradesh
250,OnePlus,254273,0.027082002,2,2019,andhra-pradesh
251,Huawei,250859,0.026718385,2,2019,andhra-pradesh
252,Lenovo,189151,0.020146016,2,2019,andhra-pradesh
253,Others,729764,0.077725399,2,2019,andhra-pradesh
254,Xiaomi,2656468,0.253996173,3,2019,andhra-pradesh
255,Samsung,2123659,0.203052045,3,2019,andhra-pradesh
256,Vivo,1674109,0.160068662,3,2019,andhra-pradesh
257,Oppo,1087660,0.103995786,3,2019,andhra-pradesh
258,Realme,727964,0.069603726,3,2019,andhra-pradesh
259,Motorola,348910,0.033360765,3,2019,andhra-pradesh
260,Apple,286412,0.027385066,3,2019,andhra-pradesh
261,Huawei,282587,0.027019342,3,2019,andhra-pradesh
262,OnePlus,271100,0.025921021,3,2019,andhra-pradesh
263,Lenovo,194180,0.018566373,3,2019,andhra-pradesh
264,Others,805644,0.07703104,3,2019,andhra-pradesh
265,Xiaomi,2985953,0.253953284,4,2019,andhra-pradesh
266,Samsung,2379139,0.202344163,4,2019,andhra-pradesh
267,Vivo,1922141,0.163476793,4,2019,andhra-pradesh
268,Oppo,1241235,0.105566198,4,2019,andhra-pradesh
269,Realme,844668,0.071838442,4,2019,andhra-pradesh
270,Motorola,381692,0.032462647,4,2019,andhra-pradesh
271,Huawei,317290,0.0269853,4,2019,andhra-pradesh
272,Apple,308354,0.026225299,4,2019,andhra-pradesh
273,OnePlus,286412,0.024359147,4,2019,andhra-pradesh
274,Lenovo,208785,0.017757023,4,2019,andhra-pradesh
275,Others,882214,0.075031704,4,2019,andhra-pradesh
276,Xiaomi,3307542,0.253995297,1,2020,andhra-pradesh
277,Samsung,2622762,0.201409147,1,2020,andhra-pradesh
278,Vivo,2165012,0.166257259,1,2020,andhra-pradesh
279,Oppo,1387060,0.106516173,1,2020,andhra-pradesh
280,Realme,960418,0.073753154,1,2020,andhra-pradesh
281,Motorola,411062,0.031566588,1,2020,andhra-pradesh
282,Huawei,348324,0.026748763,1,2020,andhra-pradesh
283,Apple,329329,0.025290085,1,2020,andhra-pradesh
284,OnePlus,298911,0.022954202,1,2020,andhra-pradesh
285,Lenovo,227154,0.017443784,1,2020,andhra-pradesh
286,Others,964486,0.074065547,1,2020,andhra-pradesh
287,Xiaomi,3635594,0.253888025,2,2020,andhra-pradesh
288,Samsung,2888149,0.20169096,2,2020,andhra-pradesh
289,Vivo,2409399,0.168257939,2,2020,andhra-pradesh
290,Oppo,1535129,0.107204179,2,2020,andhra-pradesh
291,Realme,1072165,0.074873557,2,2020,andhra-pradesh
292,Motorola,445380,0.031102661,2,2020,andhra-pradesh
293,Huawei,379220,0.026482445,2,2020,andhra-pradesh
294,Apple,348938,0.024367732,2,2020,andhra-pradesh
295,OnePlus,309208,0.021593227,2,2020,andhra-pradesh
296,Lenovo,243288,0.016989771,2,2020,andhra-pradesh
297,Others,1053205,0.073549504,2,2020,andhra-pradesh
298,Xiaomi,3978789,0.253548707,3,2020,andhra-pradesh
299,Samsung,3154020,0.200990224,3,2020,andhra-pradesh
300,Vivo,2687996,0.171292801,3,2020,andhra-pradesh
301,Oppo,1695723,0.108060109,3,2020,andhra-pradesh
302,Realme,1207622,0.076955827,3,2020,andhra-pradesh
303,Motorola,477313,0.030416816,3,2020,andhra-pradesh
304,Huawei,408520,0.026032976,3,2020,andhra-pradesh
305,Apple,370327,0.023599123,3,2020,andhra-pradesh
306,OnePlus,322028,0.020521265,3,2020,andhra-pradesh
307,Lenovo,260912,0.016626642,3,2020,andhra-pradesh
308,Others,1129155,0.07195551,3,2020,andhra-pradesh
309,Xiaomi,4325662,0.253309843,4,2020,andhra-pradesh
310,Samsung,3419866,0.200266623,4,2020,andhra-pradesh
311,Vivo,2950572,0.172784866,4,2020,andhra-pradesh
312,Oppo,1856052,0.108690009,4,2020,andhra-pradesh
313,Realme,1361491,0.079728622,4,2020,andhra-pradesh
314,Motorola,506158,0.029640504,4,2020,andhra-pradesh
315,Huawei,437125,0.025597947,4,2020,andhra-pradesh
316,Apple,394191,0.023083741,4,2020,andhra-pradesh
317,OnePlus,336518,0.019706422,4,2020,andhra-pradesh
318,Lenovo,276671,0.016201795,4,2020,andhra-pradesh
319,Others,1212259,0.070989628,4,2020,andhra-pradesh
320,Xiaomi,4644641,0.252924664,1,2021,andhra-pradesh
321,Samsung,3635596,0.197976958,1,2021,andhra-pradesh
322,Vivo,3245151,0.176715214,1,2021,andhra-pradesh
323,Oppo,2010506,0.109482424,1,2021,andhra-pradesh
324,Realme,1531645,0.083405972,1,2021,andhra-pradesh
325,Motorola,518115,0.028214035,1,2021,andhra-pradesh
326,Huawei,455604,0.024809988,1,2021,andhra-pradesh
327,Apple,421002,0.022925731,1,2021,andhra-pradesh
328,OnePlus,355922,0.019381789,1,2021,andhra-pradesh
329,Lenovo,277980,0.015137445,1,2021,andhra-pradesh
330,Others,1267571,0.06902578,1,2021,andhra-pradesh
331,Xiaomi,4937684,0.251654243,2,2021,andhra-pradesh
332,Samsung,3798250,0.193581795,2,2021,andhra-pradesh
333,Vivo,3572140,0.182057861,2,2021,andhra-pradesh
334,Oppo,2173037,0.11075111,2,2021,andhra-pradesh
335,Realme,1817804,0.092646287,2,2021,andhra-pradesh
336,Motorola,503072,0.025639592,2,2021,andhra-pradesh
337,Apple,450689,0.022969838,2,2021,andhra-pradesh
338,Huawei,440324,0.022441574,2,2021,andhra-pradesh
339,OnePlus,394851,0.020123995,2,2021,andhra-pradesh
340,Lenovo,261201,0.013312383,2,2021,andhra-pradesh
341,Others,1271853,0.064821322,2,2021,andhra-pradesh
342,Xiaomi,5256707,0.249607429,3,2021,andhra-pradesh
343,Vivo,3981492,0.189055617,3,2021,andhra-pradesh
344,Samsung,3911188,0.185717329,3,2021,andhra-pradesh
345,Oppo,2382363,0.113123197,3,2021,andhra-pradesh
346,Realme,2134616,0.101359275,3,2021,andhra-pradesh
347,Motorola,486971,0.023123141,3,2021,andhra-pradesh
348,Apple,480993,0.022839284,3,2021,andhra-pradesh
349,OnePlus,459011,0.0217955,3,2021,andhra-pradesh
350,Huawei,435214,0.020665532,3,2021,andhra-pradesh
351,Lenovo,245241,0.011644928,3,2021,andhra-pradesh
352,Others,1286102,0.061068767,3,2021,andhra-pradesh
353,Xiaomi,5518238,0.245374667,4,2021,andhra-pradesh
354,Vivo,4381023,0.194807121,4,2021,andhra-pradesh
355,Samsung,4017419,0.17863906,4,2021,andhra-pradesh
356,Oppo,2580845,0.114760179,4,2021,andhra-pradesh
357,Realme,2528884,0.112449675,4,2021,andhra-pradesh
358,Apple,544986,0.024233416,4,2021,andhra-pradesh
359,OnePlus,525373,0.023361302,4,2021,andhra-pradesh
360,Motorola,474422,0.021095708,4,2021,andhra-pradesh
361,Huawei,409934,0.018228177,4,2021,andhra-pradesh
362,Lenovo,224391,0.009977799,4,2021,andhra-pradesh
363,Others,1283514,0.057072895,4,2021,andhra-pradesh
364,Xiaomi,5743382,0.240732408,1,2022,andhra-pradesh
365,Vivo,4772765,0.200049241,1,2022,andhra-pradesh
366,Samsung,4124296,0.172868827,1,2022,andhra-pradesh
367,Realme,2864092,0.120047694,1,2022,andhra-pradesh
368,Oppo,2780974,0.116563824,1,2022,andhra-pradesh
369,Apple,594003,0.024897486,1,2022,andhra-pradesh
370,OnePlus,580737,0.024341445,1,2022,andhra-pradesh
371,Motorola,463652,0.019433857,1,2022,andhra-pradesh
372,Huawei,401477,0.016827807,1,2022,andhra-pradesh
373,Lenovo,222586,0.009329636,1,2022,andhra-pradesh
374,Others,1309987,0.054907775,1,2022,andhra-pradesh
375,Xiaomi,5212,0.242474994,1,2018,arunachal-pradesh
376,Samsung,4354,0.202558735,1,2018,arunachal-pradesh
377,Vivo,3523,0.163898581,1,2018,arunachal-pradesh
378,Oppo,2608,0.121330542,1,2018,arunachal-pradesh
379,Realme,1297,0.060339614,1,2018,arunachal-pradesh
380,Apple,628,0.029216097,1,2018,arunachal-pradesh
381,Gionee,563,0.026192138,1,2018,arunachal-pradesh
382,Lenovo,420,0.019539428,1,2018,arunachal-pradesh
383,OnePlus,403,0.018748546,1,2018,arunachal-pradesh
384,Motorola,343,0.015957199,1,2018,arunachal-pradesh
385,Others,2144,0.099744127,1,2018,arunachal-pradesh
386,Xiaomi,8058,0.245050634,2,2018,arunachal-pradesh
387,Samsung,6633,0.201715172,2,2018,arunachal-pradesh
388,Vivo,5591,0.170027066,2,2018,arunachal-pradesh
389,Oppo,4204,0.127847216,2,2018,arunachal-pradesh
390,Realme,1943,0.059088283,2,2018,arunachal-pradesh
391,Apple,869,0.026427029,2,2018,arunachal-pradesh
392,Gionee,730,0.022199921,2,2018,arunachal-pradesh
393,Lenovo,581,0.017668704,2,2018,arunachal-pradesh
394,OnePlus,554,0.016847611,2,2018,arunachal-pradesh
395,Motorola,514,0.015631177,2,2018,arunachal-pradesh
396,Others,3206,0.097497187,2,2018,arunachal-pradesh
397,Xiaomi,11250,0.244980619,3,2018,arunachal-pradesh
398,Samsung,9307,0.202669744,3,2018,arunachal-pradesh
399,Vivo,8226,0.179129829,3,2018,arunachal-pradesh
400,Oppo,5992,0.130482122,3,2018,arunachal-pradesh
401,Realme,2676,0.058272723,3,2018,arunachal-pradesh
402,Apple,1153,0.025107791,3,2018,arunachal-pradesh
403,Gionee,1024,0.02229868,3,2018,arunachal-pradesh
404,OnePlus,740,0.016114281,3,2018,arunachal-pradesh
405,Motorola,722,0.015722312,3,2018,arunachal-pradesh
406,Lenovo,629,0.013697139,3,2018,arunachal-pradesh
407,Others,4203,0.091524759,3,2018,arunachal-pradesh
408,Xiaomi,15097,0.244082649,4,2018,arunachal-pradesh
409,Samsung,12580,0.203388734,4,2018,arunachal-pradesh
410,Vivo,11624,0.187932484,4,2018,arunachal-pradesh
411,Oppo,8328,0.134643989,4,2018,arunachal-pradesh
412,Realme,3613,0.058413633,4,2018,arunachal-pradesh
413,Apple,1517,0.024526289,4,2018,arunachal-pradesh
414,Gionee,1188,0.01920714,4,2018,arunachal-pradesh
415,Motorola,944,0.015262239,4,2018,arunachal-pradesh
416,OnePlus,896,0.014486193,4,2018,arunachal-pradesh
417,Lenovo,831,0.013435297,4,2018,arunachal-pradesh
418,Others,5234,0.084621354,4,2018,arunachal-pradesh
419,Xiaomi,18809,0.244409216,1,2019,arunachal-pradesh
420,Samsung,15537,0.201891966,1,2019,arunachal-pradesh
421,Vivo,14892,0.193510662,1,2019,arunachal-pradesh
422,Oppo,10738,0.139532466,1,2019,arunachal-pradesh
423,Realme,4413,0.057343711,1,2019,arunachal-pradesh
424,Apple,1870,0.024299284,1,2019,arunachal-pradesh
425,Gionee,1310,0.017022493,1,2019,arunachal-pradesh
426,Motorola,1137,0.014774484,1,2019,arunachal-pradesh
427,OnePlus,1114,0.014475616,1,2019,arunachal-pradesh
428,Huawei,972,0.01263043,1,2019,arunachal-pradesh
429,Others,6165,0.080109672,1,2019,arunachal-pradesh
430,Xiaomi,23326,0.243270585,2,2019,arunachal-pradesh
431,Samsung,19719,0.205652605,2,2019,arunachal-pradesh
432,Vivo,18958,0.197716014,2,2019,arunachal-pradesh
