S.no,District,RegisteredUsers,Appopens,Quarter,Year,State
66,kurnool district,240133,0,1,2018,andhra-pradesh
67,guntur district,317065,0,1,2018,andhra-pradesh
68,krishna district,323673,0,1,2018,andhra-pradesh
69,spsr nellore district,194475,0,1,2018,andhra-pradesh
70,vizianagaram district,128905,0,1,2018,andhra-pradesh
71,ysr district,186800,0,1,2018,andhra-pradesh
72,west godavari district,213335,0,1,2018,andhra-pradesh
73,chittoor district,309541,0,1,2018,andhra-pradesh
74,east godavari district,454398,0,2,2018,andhra-pradesh
75,srikakulam district,186913,0,2,2018,andhra-pradesh
76,visakhapatnam district,636052,0,2,2018,andhra-pradesh
77,prakasam district,253458,0,2,2018,andhra-pradesh
78,anantapur district,326383,0,2,2018,andhra-pradesh
79,kurnool district,319313,0,2,2018,andhra-pradesh
80,guntur district,420326,0,2,2018,andhra-pradesh
81,krishna district,431965,0,2,2018,andhra-pradesh
82,spsr nellore district,261049,0,2,2018,andhra-pradesh
83,vizianagaram district,167327,0,2,2018,andhra-pradesh
84,ysr district,248657,0,2,2018,andhra-pradesh
85,west godavari district,282393,0,2,2018,andhra-pradesh
86,chittoor district,414306,0,2,2018,andhra-pradesh
87,east godavari district,558982,0,3,2018,andhra-pradesh
88,srikakulam district,228456,0,3,2018,andhra-pradesh
89,visakhapatnam district,769096,0,3,2018,andhra-pradesh
90,prakasam district,314899,0,3,2018,andhra-pradesh
91,anantapur district,405855,0,3,2018,andhra-pradesh
92,kurnool district,394311,0,3,2018,andhra-pradesh
93,guntur district,518931,0,3,2018,andhra-pradesh
94,krishna district,537086,0,3,2018,andhra-pradesh
95,spsr nellore district,322446,0,3,2018,andhra-pradesh
96,vizianagaram district,203655,0,3,2018,andhra-pradesh
97,ysr district,308391,0,3,2018,andhra-pradesh
98,west godavari district,349782,0,3,2018,andhra-pradesh
99,chittoor district,515727,0,3,2018,andhra-pradesh
100,east godavari district,694455,0,4,2018,andhra-pradesh
101,srikakulam district,284874,0,4,2018,andhra-pradesh
102,visakhapatnam district,978288,0,4,2018,andhra-pradesh
103,prakasam district,394962,0,4,2018,andhra-pradesh
104,anantapur district,510892,0,4,2018,andhra-pradesh
105,kurnool district,498582,0,4,2018,andhra-pradesh
106,guntur district,659552,0,4,2018,andhra-pradesh
107,krishna district,682479,0,4,2018,andhra-pradesh
108,spsr nellore district,407495,0,4,2018,andhra-pradesh
109,vizianagaram district,257824,0,4,2018,andhra-pradesh
110,ysr district,387058,0,4,2018,andhra-pradesh
111,west godavari district,435668,0,4,2018,andhra-pradesh
112,chittoor district,665280,0,4,2018,andhra-pradesh
113,east godavari district,839277,0,1,2019,andhra-pradesh
114,srikakulam district,345775,0,1,2019,andhra-pradesh
115,visakhapatnam district,1174517,0,1,2019,andhra-pradesh
116,prakasam district,474260,0,1,2019,andhra-pradesh
117,anantapur district,612162,0,1,2019,andhra-pradesh
118,kurnool district,599422,0,1,2019,andhra-pradesh
119,guntur district,802394,0,1,2019,andhra-pradesh
120,krishna district,833694,0,1,2019,andhra-pradesh
121,spsr nellore district,491908,0,1,2019,andhra-pradesh
122,vizianagaram district,313334,0,1,2019,andhra-pradesh
123,ysr district,460590,0,1,2019,andhra-pradesh
124,west godavari district,523372,0,1,2019,andhra-pradesh
125,chittoor district,812314,0,1,2019,andhra-pradesh
126,east godavari district,945181,7156762,2,2019,andhra-pradesh
127,srikakulam district,392764,3230330,2,2019,andhra-pradesh
128,visakhapatnam district,1318740,13681907,2,2019,andhra-pradesh
129,prakasam district,539462,4488365,2,2019,andhra-pradesh
130,anantapur district,695114,6056591,2,2019,andhra-pradesh
131,kurnool district,680118,6240480,2,2019,andhra-pradesh
132,guntur district,915256,7268875,2,2019,andhra-pradesh
133,krishna district,952300,7822632,2,2019,andhra-pradesh
134,spsr nellore district,558303,4774473,2,2019,andhra-pradesh
135,vizianagaram district,355058,3541678,2,2019,andhra-pradesh
136,ysr district,519031,4345848,2,2019,andhra-pradesh
137,west godavari district,592185,3853094,2,2019,andhra-pradesh
138,chittoor district,925491,8914216,2,2019,andhra-pradesh
139,east godavari district,1057167,28275322,3,2019,andhra-pradesh
140,srikakulam district,437939,11813195,3,2019,andhra-pradesh
141,visakhapatnam district,1460464,54836001,3,2019,andhra-pradesh
142,prakasam district,598568,16267041,3,2019,andhra-pradesh
143,anantapur district,773656,22845084,3,2019,andhra-pradesh
144,kurnool district,755024,22827473,3,2019,andhra-pradesh
145,guntur district,1026418,28477132,3,2019,andhra-pradesh
146,krishna district,1066546,30077671,3,2019,andhra-pradesh
147,spsr nellore district,619592,17768733,3,2019,andhra-pradesh
148,vizianagaram district,394375,13065845,3,2019,andhra-pradesh
149,ysr district,574109,15833900,3,2019,andhra-pradesh
150,west godavari district,662102,14227407,3,2019,andhra-pradesh
151,chittoor district,1032733,34638738,3,2019,andhra-pradesh
152,east godavari district,1195228,38299189,4,2019,andhra-pradesh
153,srikakulam district,496266,16353822,4,2019,andhra-pradesh
154,visakhapatnam district,1620235,70749983,4,2019,andhra-pradesh
155,prakasam district,673522,21639748,4,2019,andhra-pradesh
156,anantapur district,873033,30278539,4,2019,andhra-pradesh
157,kurnool district,846885,29676997,4,2019,andhra-pradesh
158,guntur district,1158708,37846179,4,2019,andhra-pradesh
159,krishna district,1199971,39407473,4,2019,andhra-pradesh
160,spsr nellore district,697154,23608360,4,2019,andhra-pradesh
161,vizianagaram district,443810,17515311,4,2019,andhra-pradesh
162,ysr district,646642,21543798,4,2019,andhra-pradesh
163,west godavari district,750078,19393528,4,2019,andhra-pradesh
164,chittoor district,1156351,44888591,4,2019,andhra-pradesh
165,east godavari district,1329664,46142746,1,2020,andhra-pradesh
166,srikakulam district,552007,20975989,1,2020,andhra-pradesh
167,visakhapatnam district,1763581,77558624,1,2020,andhra-pradesh
168,prakasam district,748655,26870693,1,2020,andhra-pradesh
169,anantapur district,971850,36900103,1,2020,andhra-pradesh
170,kurnool district,936293,34198350,1,2020,andhra-pradesh
171,guntur district,1289678,45282758,1,2020,andhra-pradesh
172,krishna district,1331602,46079408,1,2020,andhra-pradesh
173,spsr nellore district,775440,28879364,1,2020,andhra-pradesh
174,vizianagaram district,490683,21562104,1,2020,andhra-pradesh
175,ysr district,717865,26166193,1,2020,andhra-pradesh
176,west godavari district,843835,24542868,1,2020,andhra-pradesh
177,chittoor district,1270907,51354573,1,2020,andhra-pradesh
178,east godavari district,1459116,45884498,2,2020,andhra-pradesh
179,srikakulam district,608002,23808009,2,2020,andhra-pradesh
180,visakhapatnam district,1904719,69684456,2,2020,andhra-pradesh
181,prakasam district,830709,32255276,2,2020,andhra-pradesh
182,anantapur district,1076953,39704703,2,2020,andhra-pradesh
183,kurnool district,1035093,36268390,2,2020,andhra-pradesh
184,guntur district,1426271,44267596,2,2020,andhra-pradesh
185,krishna district,1459041,41234166,2,2020,andhra-pradesh
186,spsr nellore district,854459,30816403,2,2020,andhra-pradesh
187,vizianagaram district,537798,24370380,2,2020,andhra-pradesh
188,ysr district,796769,29644037,2,2020,andhra-pradesh
189,west godavari district,944829,26583613,2,2020,andhra-pradesh
190,chittoor district,1385916,49820171,2,2020,andhra-pradesh
191,east godavari district,1601940,64292857,3,2020,andhra-pradesh
192,srikakulam district,667858,31794753,3,2020,andhra-pradesh
193,visakhapatnam district,2058346,102589371,3,2020,andhra-pradesh
194,prakasam district,915240,44970519,3,2020,andhra-pradesh
195,anantapur district,1186851,55714787,3,2020,andhra-pradesh
196,kurnool district,1132240,49164718,3,2020,andhra-pradesh
197,guntur district,1567595,62427501,3,2020,andhra-pradesh
198,krishna district,1599289,61028114,3,2020,andhra-pradesh
199,spsr nellore district,937176,43951448,3,2020,andhra-pradesh
200,vizianagaram district,587784,31199437,3,2020,andhra-pradesh
201,ysr district,877909,41578067,3,2020,andhra-pradesh
202,west godavari district,1053674,38126238,3,2020,andhra-pradesh
203,chittoor district,1506503,69462572,3,2020,andhra-pradesh
204,east godavari district,1746280,82605352,4,2020,andhra-pradesh
205,srikakulam district,726761,36770992,4,2020,andhra-pradesh
206,visakhapatnam district,2209658,124730170,4,2020,andhra-pradesh
207,prakasam district,999462,52839846,4,2020,andhra-pradesh
208,anantapur district,1295872,69562398,4,2020,andhra-pradesh
209,kurnool district,1230466,60615045,4,2020,andhra-pradesh
210,guntur district,1712940,81291172,4,2020,andhra-pradesh
211,krishna district,1744028,81787771,4,2020,andhra-pradesh
212,spsr nellore district,1022944,54765443,4,2020,andhra-pradesh
213,vizianagaram district,634462,35110885,4,2020,andhra-pradesh
214,ysr district,959182,49596303,4,2020,andhra-pradesh
215,west godavari district,1163179,51170162,4,2020,andhra-pradesh
216,chittoor district,1631331,88232999,4,2020,andhra-pradesh
217,east godavari district,1878769,91478749,1,2021,andhra-pradesh
218,srikakulam district,782604,40590058,1,2021,andhra-pradesh
219,visakhapatnam district,2368081,135908324,1,2021,andhra-pradesh
220,prakasam district,1075936,56911479,1,2021,andhra-pradesh
221,anantapur district,1394849,73375049,1,2021,andhra-pradesh
222,kurnool district,1323411,65326230,1,2021,andhra-pradesh
223,guntur district,1843237,92731167,1,2021,andhra-pradesh
224,krishna district,1876458,92941553,1,2021,andhra-pradesh
225,spsr nellore district,1100541,60691988,1,2021,andhra-pradesh
226,vizianagaram district,681621,37752539,1,2021,andhra-pradesh
227,ysr district,1032689,53525815,1,2021,andhra-pradesh
228,west godavari district,1254117,57392671,1,2021,andhra-pradesh
229,chittoor district,1751420,99083825,1,2021,andhra-pradesh
230,east godavari district,2006272,84705076,2,2021,andhra-pradesh
231,srikakulam district,837958,43740255,2,2021,andhra-pradesh
232,visakhapatnam district,2526830,114313154,2,2021,andhra-pradesh
233,prakasam district,1151232,76850749,2,2021,andhra-pradesh
234,anantapur district,1492738,104568606,2,2021,andhra-pradesh
235,kurnool district,1415585,81894678,2,2021,andhra-pradesh
236,guntur district,1968681,88248064,2,2021,andhra-pradesh
237,krishna district,2002662,85771678,2,2021,andhra-pradesh
238,spsr nellore district,1176334,74049216,2,2021,andhra-pradesh
239,vizianagaram district,729509,42684475,2,2021,andhra-pradesh
240,ysr district,1103004,72255265,2,2021,andhra-pradesh
241,west godavari district,1339377,65118788,2,2021,andhra-pradesh
242,chittoor district,1870723,110505432,2,2021,andhra-pradesh
243,east godavari district,2150622,103626560,3,2021,andhra-pradesh
244,srikakulam district,902008,48622126,3,2021,andhra-pradesh
245,visakhapatnam district,2707931,139540800,3,2021,andhra-pradesh
246,prakasam district,1239147,91533813,3,2021,andhra-pradesh
247,anantapur district,1606735,124985545,3,2021,andhra-pradesh
248,kurnool district,1522196,101210508,3,2021,andhra-pradesh
249,guntur district,2110878,106621413,3,2021,andhra-pradesh
250,krishna district,2145423,104358295,3,2021,andhra-pradesh
251,spsr nellore district,1263550,90102349,3,2021,andhra-pradesh
252,vizianagaram district,784444,46277311,3,2021,andhra-pradesh
253,ysr district,1183377,86369956,3,2021,andhra-pradesh
254,west godavari district,1436576,80244808,3,2021,andhra-pradesh
255,chittoor district,2007011,135043395,3,2021,andhra-pradesh
256,east godavari district,2294347,142536856,4,2021,andhra-pradesh
257,srikakulam district,965335,61654215,4,2021,andhra-pradesh
258,visakhapatnam district,2888774,188757640,4,2021,andhra-pradesh
259,prakasam district,1325728,86410317,4,2021,andhra-pradesh
260,anantapur district,1719437,120768682,4,2021,andhra-pradesh
261,kurnool district,1628242,97379271,4,2021,andhra-pradesh
262,guntur district,2252443,130920743,4,2021,andhra-pradesh
263,krishna district,2288148,134436469,4,2021,andhra-pradesh
264,spsr nellore district,1349290,90814672,4,2021,andhra-pradesh
265,vizianagaram district,839606,56101822,4,2021,andhra-pradesh
266,ysr district,1262963,83534122,4,2021,andhra-pradesh
267,west godavari district,1532898,100007280,4,2021,andhra-pradesh
268,chittoor district,2141818,154395512,4,2021,andhra-pradesh
269,east godavari district,2432305,87134562,1,2022,andhra-pradesh
270,srikakulam district,1027283,46691467,1,2022,andhra-pradesh
271,visakhapatnam district,3061324,88803090,1,2022,andhra-pradesh
272,prakasam district,1408929,104851997,1,2022,andhra-pradesh
273,anantapur district,1827094,155792533,1,2022,andhra-pradesh
274,kurnool district,1729513,119653214,1,2022,andhra-pradesh
275,guntur district,2387051,88844052,1,2022,andhra-pradesh
276,krishna district,2423373,85871644,1,2022,andhra-pradesh
277,spsr nellore district,1431664,101671767,1,2022,andhra-pradesh
278,vizianagaram district,892889,44804002,1,2022,andhra-pradesh
279,ysr district,1339782,98878499,1,2022,andhra-pradesh
280,west godavari district,1626039,87642475,1,2022,andhra-pradesh
281,chittoor district,2270705,144146671,1,2022,andhra-pradesh
282,east godavari district,2564165,93383888,2,2022,andhra-pradesh
283,srikakulam district,1086164,51087942,2,2022,andhra-pradesh
284,visakhapatnam district,3226029,93552701,2,2022,andhra-pradesh
285,prakasam district,1487589,108172758,2,2022,andhra-pradesh
286,anantapur district,1928213,181499094,2,2022,andhra-pradesh
287,kurnool district,1825280,136447455,2,2022,andhra-pradesh
288,guntur district,2514794,91997209,2,2022,andhra-pradesh
289,krishna district,2552107,95341487,2,2022,andhra-pradesh
290,spsr nellore district,1509927,108755384,2,2022,andhra-pradesh
291,vizianagaram district,943242,50230853,2,2022,andhra-pradesh
292,ysr district,1412848,106157470,2,2022,andhra-pradesh
293,west godavari district,1714357,103338893,2,2022,andhra-pradesh
294,chittoor district,2392549,158771722,2,2022,andhra-pradesh
295,east godavari district,2702234,85780890,3,2022,andhra-pradesh
296,srikakulam district,1147016,46323107,3,2022,andhra-pradesh
297,visakhapatnam district,3397514,87888969,3,2022,andhra-pradesh
298,prakasam district,1567520,114185009,3,2022,andhra-pradesh
299,anantapur district,2030824,181038520,3,2022,andhra-pradesh
300,kurnool district,1924127,143715547,3,2022,andhra-pradesh
301,guntur district,2647100,91146114,3,2022,andhra-pradesh
302,krishna district,2685215,86220959,3,2022,andhra-pradesh
303,spsr nellore district,1588875,105928407,3,2022,andhra-pradesh
304,vizianagaram district,995141,46767889,3,2022,andhra-pradesh
305,ysr district,1487140,107976611,3,2022,andhra-pradesh
306,west godavari district,1805967,97509407,3,2022,andhra-pradesh
307,chittoor district,2517657,162524274,3,2022,andhra-pradesh
308,east godavari district,2835087,173720880,4,2022,andhra-pradesh
309,srikakulam district,1204785,72666058,4,2022,andhra-pradesh
310,visakhapatnam district,3566854,208604256,4,2022,andhra-pradesh
311,prakasam district,1642503,94432083,4,2022,andhra-pradesh
312,anantapur district,2128066,136685634,4,2022,andhra-pradesh
313,kurnool district,2018290,105333688,4,2022,andhra-pradesh
314,guntur district,2774365,144773169,4,2022,andhra-pradesh
315,krishna district,2813645,156902257,4,2022,andhra-pradesh
316,spsr nellore district,1663684,103101986,4,2022,andhra-pradesh
317,vizianagaram district,1044490,64406405,4,2022,andhra-pradesh
318,ysr district,1556901,93975668,4,2022,andhra-pradesh
319,west godavari district,1893310,129116752,4,2022,andhra-pradesh
320,chittoor district,2636036,189655966,4,2022,andhra-pradesh
321,lower subansiri district,498,0,1,2018,arunachal-pradesh
322,tirap district,557,0,1,2018,arunachal-pradesh
323,papum pare district,7649,0,1,2018,arunachal-pradesh
324,anjaw district,278,0,1,2018,arunachal-pradesh
325,lower siang district,270,0,1,2018,arunachal-pradesh
326,dibang valley district,66,0,1,2018,arunachal-pradesh
327,west kameng district,2202,0,1,2018,arunachal-pradesh
328,shi yomi district,49,0,1,2018,arunachal-pradesh
329,east kameng district,222,0,1,2018,arunachal-pradesh
330,lohit district,1207,0,1,2018,arunachal-pradesh
331,lepa rada district,210,0,1,2018,arunachal-pradesh
332,lower dibang valley district,601,0,1,2018,arunachal-pradesh
333,longding district,256,0,1,2018,arunachal-pradesh
334,west siang district,846,0,1,2018,arunachal-pradesh
335,kamle district,22,0,1,2018,arunachal-pradesh
336,upper siang district,301,0,1,2018,arunachal-pradesh
337,kurung kumey district,97,0,1,2018,arunachal-pradesh
338,siang district,192,0,1,2018,arunachal-pradesh
339,kra daadi district,88,0,1,2018,arunachal-pradesh
340,changlang district,1208,0,1,2018,arunachal-pradesh
341,pakke kessang district,39,0,1,2018,arunachal-pradesh
342,east siang district,1803,0,1,2018,arunachal-pradesh
343,upper subansiri district,572,0,1,2018,arunachal-pradesh
344,tawang district,1525,0,1,2018,arunachal-pradesh
345,namsai district,737,0,1,2018,arunachal-pradesh
346,lower subansiri district,724,0,2,2018,arunachal-pradesh
347,tirap district,856,0,2,2018,arunachal-pradesh
348,papum pare district,11418,0,2,2018,arunachal-pradesh
349,anjaw district,410,0,2,2018,arunachal-pradesh
350,lower siang district,494,0,2,2018,arunachal-pradesh
351,dibang valley district,112,0,2,2018,arunachal-pradesh
352,west kameng district,3442,0,2,2018,arunachal-pradesh
353,shi yomi district,80,0,2,2018,arunachal-pradesh
354,east kameng district,343,0,2,2018,arunachal-pradesh
355,lohit district,1898,0,2,2018,arunachal-pradesh
356,lepa rada district,318,0,2,2018,arunachal-pradesh
357,lower dibang valley district,893,0,2,2018,arunachal-pradesh
358,longding district,412,0,2,2018,arunachal-pradesh
359,west siang district,1224,0,2,2018,arunachal-pradesh
360,kamle district,37,0,2,2018,arunachal-pradesh
361,upper siang district,481,0,2,2018,arunachal-pradesh
362,kurung kumey district,153,0,2,2018,arunachal-pradesh
363,siang district,293,0,2,2018,arunachal-pradesh
364,kra daadi district,144,0,2,2018,arunachal-pradesh
365,changlang district,2014,0,2,2018,arunachal-pradesh
366,pakke kessang district,66,0,2,2018,arunachal-pradesh
367,east siang district,2646,0,2,2018,arunachal-pradesh
368,upper subansiri district,883,0,2,2018,arunachal-pradesh
369,tawang district,2266,0,2,2018,arunachal-pradesh
370,namsai district,1276,0,2,2018,arunachal-pradesh
371,lower subansiri district,1033,0,3,2018,arunachal-pradesh
372,tirap district,1226,0,3,2018,arunachal-pradesh
373,papum pare district,16009,0,3,2018,arunachal-pradesh
374,anjaw district,542,0,3,2018,arunachal-pradesh
375,lower siang district,717,0,3,2018,arunachal-pradesh
376,dibang valley district,145,0,3,2018,arunachal-pradesh
377,west kameng district,4765,0,3,2018,arunachal-pradesh
378,shi yomi district,118,0,3,2018,arunachal-pradesh
379,east kameng district,521,0,3,2018,arunachal-pradesh
380,lohit district,2612,0,3,2018,arunachal-pradesh
381,lepa rada district,431,0,3,2018,arunachal-pradesh
382,lower dibang valley district,1286,0,3,2018,arunachal-pradesh
383,longding district,644,0,3,2018,arunachal-pradesh
384,west siang district,1652,0,3,2018,arunachal-pradesh
385,kamle district,65,0,3,2018,arunachal-pradesh
386,upper siang district,646,0,3,2018,arunachal-pradesh
387,kurung kumey district,222,0,3,2018,arunachal-pradesh
388,siang district,373,0,3,2018,arunachal-pradesh
389,kra daadi district,190,0,3,2018,arunachal-pradesh
390,changlang district,2889,0,3,2018,arunachal-pradesh
391,pakke kessang district,103,0,3,2018,arunachal-pradesh
392,east siang district,3590,0,3,2018,arunachal-pradesh
393,upper subansiri district,1169,0,3,2018,arunachal-pradesh
394,tawang district,3112,0,3,2018,arunachal-pradesh
395,namsai district,1862,0,3,2018,arunachal-pradesh
396,lower subansiri district,1459,0,4,2018,arunachal-pradesh
397,tirap district,1684,0,4,2018,arunachal-pradesh
398,papum pare district,21342,0,4,2018,arunachal-pradesh
399,anjaw district,744,0,4,2018,arunachal-pradesh
400,lower siang district,936,0,4,2018,arunachal-pradesh
401,dibang valley district,178,0,4,2018,arunachal-pradesh
402,west kameng district,6492,0,4,2018,arunachal-pradesh
403,shi yomi district,144,0,4,2018,arunachal-pradesh
404,east kameng district,691,0,4,2018,arunachal-pradesh
405,lohit district,3588,0,4,2018,arunachal-pradesh
406,lepa rada district,548,0,4,2018,arunachal-pradesh
407,lower dibang valley district,1827,0,4,2018,arunachal-pradesh
408,longding district,923,0,4,2018,arunachal-pradesh
409,west siang district,2117,0,4,2018,arunachal-pradesh
410,kamle district,109,0,4,2018,arunachal-pradesh
411,upper siang district,868,0,4,2018,arunachal-pradesh
412,kurung kumey district,321,0,4,2018,arunachal-pradesh
413,siang district,483,0,4,2018,arunachal-pradesh
414,kra daadi district,255,0,4,2018,arunachal-pradesh
415,changlang district,4036,0,4,2018,arunachal-pradesh
416,pakke kessang district,138,0,4,2018,arunachal-pradesh
417,east siang district,4813,0,4,2018,arunachal-pradesh
418,upper subansiri district,1576,0,4,2018,arunachal-pradesh
419,tawang district,4085,0,4,2018,arunachal-pradesh
420,namsai district,2495,0,4,2018,arunachal-pradesh
421,lower subansiri district,1879,0,1,2019,arunachal-pradesh
422,tirap district,2082,0,1,2019,arunachal-pradesh
423,papum pare district,26298,0,1,2019,arunachal-pradesh
424,anjaw district,934,0,1,2019,arunachal-pradesh
425,lower siang district,1123,0,1,2019,arunachal-pradesh
426,dibang valley district,211,0,1,2019,arunachal-pradesh
427,west kameng district,8115,0,1,2019,arunachal-pradesh
428,shi yomi district,186,0,1,2019,arunachal-pradesh
429,east kameng district,876,0,1,2019,arunachal-pradesh
430,lohit district,4416,0,1,2019,arunachal-pradesh
431,lepa rada district,710,0,1,2019,arunachal-pradesh
432,lower dibang valley district,2314,0,1,2019,arunachal-pradesh
433,longding district,1152,0,1,2019,arunachal-pradesh
434,west siang district,2656,0,1,2019,arunachal-pradesh
435,kamle district,141,0,1,2019,arunachal-pradesh
436,upper siang district,1125,0,1,2019,arunachal-pradesh
437,kurung kumey district,385,0,1,2019,arunachal-pradesh
438,siang district,651,0,1,2019,arunachal-pradesh
439,kra daadi district,350,0,1,2019,arunachal-pradesh
440,changlang district,5210,0,1,2019,arunachal-pradesh
441,pakke kessang district,162,0,1,2019,arunachal-pradesh
442,east siang district,5899,0,1,2019,arunachal-pradesh
443,upper subansiri district,1906,0,1,2019,arunachal-pradesh
444,tawang district,5023,0,1,2019,arunachal-pradesh
445,namsai district,3153,0,1,2019,arunachal-pradesh
446,lower subansiri district,2463,11644,2,2019,arunachal-pradesh
447,tirap district,2697,12779,2,2019,arunachal-pradesh
448,papum pare district,32800,163673,2,2019,arunachal-pradesh
449,anjaw district,1175,4993,2,2019,arunachal-pradesh
450,lower siang district,1457,7737,2,2019,arunachal-pradesh
451,dibang valley district,241,258,2,2019,arunachal-pradesh
452,west kameng district,9782,73944,2,2019,arunachal-pradesh
453,shi yomi district,225,24,2,2019,arunachal-pradesh
454,east kameng district,1075,4146,2,2019,arunachal-pradesh
455,lohit district,5485,32550,2,2019,arunachal-pradesh
456,lepa rada district,903,4196,2,2019,arunachal-pradesh
457,lower dibang valley district,2842,12669,2,2019,arunachal-pradesh
458,longding district,1420,13256,2,2019,arunachal-pradesh
459,west siang district,3393,15972,2,2019,arunachal-pradesh
460,kamle district,212,972,2,2019,arunachal-pradesh
461,upper siang district,1372,2710,2,2019,arunachal-pradesh
462,kurung kumey district,481,2171,2,2019,arunachal-pradesh
463,siang district,831,3209,2,2019,arunachal-pradesh
464,kra daadi district,440,2639,2,2019,arunachal-pradesh
465,changlang district,6884,37725,2,2019,arunachal-pradesh
466,pakke kessang district,211,1237,2,2019,arunachal-pradesh
467,east siang district,7319,34596,2,2019,arunachal-pradesh
468,upper subansiri district,2355,9043,2,2019,arunachal-pradesh
469,tawang district,5908,32103,2,2019,arunachal-pradesh
470,namsai district,3914,18627,2,2019,arunachal-pradesh
471,lower subansiri district,2928,42877,3,2019,arunachal-pradesh
472,tirap district,3099,49222,3,2019,arunachal-pradesh
473,papum pare district,38845,582435,3,2019,arunachal-pradesh
