S.no,Transacton_type,Total_Transactions_count,Total_Amount,Quarter,Year,State
144,Financial Services,75238,43739133.17,1,2020,andhra-pradesh
145,Others,292310,188228538.4,1,2020,andhra-pradesh
146,Peer-to-peer payments,73609921,2.63E+11,2,2020,andhra-pradesh
147,Recharge & bill payments,41013987,16991006437,2,2020,andhra-pradesh
148,Merchant payments,29976765,22625596525,2,2020,andhra-pradesh
149,Financial Services,140941,145274999.2,2,2020,andhra-pradesh
150,Others,176241,90087654.6,2,2020,andhra-pradesh
151,Peer-to-peer payments,106791894,4.06E+11,3,2020,andhra-pradesh
152,Merchant payments,54055557,40739580214,3,2020,andhra-pradesh
153,Recharge & bill payments,43500067,19475104675,3,2020,andhra-pradesh
154,Financial Services,243088,256074924.7,3,2020,andhra-pradesh
155,Others,312329,151582519.2,3,2020,andhra-pradesh
156,Peer-to-peer payments,152003791,5.67E+11,4,2020,andhra-pradesh
157,Merchant payments,86581460,66654048150,4,2020,andhra-pradesh
158,Recharge & bill payments,46810304,20936337212,4,2020,andhra-pradesh
159,Financial Services,265470,305168772.5,4,2020,andhra-pradesh
160,Others,457527,306853355.6,4,2020,andhra-pradesh
161,Peer-to-peer payments,149313738,5.81E+11,1,2021,andhra-pradesh
162,Merchant payments,97920281,70813192713,1,2021,andhra-pradesh
163,Recharge & bill payments,41940689,20546424964,1,2021,andhra-pradesh
164,Financial Services,225355,270313028.5,1,2021,andhra-pradesh
165,Others,347907,272546457.6,1,2021,andhra-pradesh
166,Peer-to-peer payments,189614879,7.37E+11,2,2021,andhra-pradesh
167,Merchant payments,112875274,88512429437,2,2021,andhra-pradesh
168,Recharge & bill payments,49626902,24646800345,2,2021,andhra-pradesh
169,Financial Services,243237,265483044.4,2,2021,andhra-pradesh
170,Others,406842,308302224.4,2,2021,andhra-pradesh
171,Peer-to-peer payments,221280317,8.38E+11,3,2021,andhra-pradesh
172,Merchant payments,158290953,1.18E+11,3,2021,andhra-pradesh
173,Recharge & bill payments,51702350,27511344958,3,2021,andhra-pradesh
174,Financial Services,211171,297239697.8,3,2021,andhra-pradesh
175,Others,547759,403948275.6,3,2021,andhra-pradesh
176,Peer-to-peer payments,262006450,9.71E+11,4,2021,andhra-pradesh
177,Merchant payments,207538904,1.53E+11,4,2021,andhra-pradesh
178,Recharge & bill payments,51762842,31232784714,4,2021,andhra-pradesh
179,Financial Services,243951,332740108.7,4,2021,andhra-pradesh
180,Others,701856,545223415.7,4,2021,andhra-pradesh
181,Peer-to-peer payments,288488560,1.09E+12,1,2022,andhra-pradesh
182,Merchant payments,242031836,1.69E+11,1,2022,andhra-pradesh
183,Recharge & bill payments,51224170,34473036842,1,2022,andhra-pradesh
184,Financial Services,231651,324358965.1,1,2022,andhra-pradesh
185,Others,627694,474382234.3,1,2022,andhra-pradesh
186,Peer-to-peer payments,321362337,1.23E+12,2,2022,andhra-pradesh
187,Merchant payments,292530048,2.05E+11,2,2022,andhra-pradesh
188,Recharge & bill payments,56606969,42408541939,2,2022,andhra-pradesh
189,Financial Services,192751,245783011,2,2022,andhra-pradesh
190,Others,441925,357036084.9,2,2022,andhra-pradesh
191,Peer-to-peer payments,298804000,1.14E+12,3,2022,andhra-pradesh
192,Merchant payments,291033653,2.03E+11,3,2022,andhra-pradesh
193,Recharge & bill payments,52467708,41438764826,3,2022,andhra-pradesh
194,Financial Services,187190,239347241.5,3,2022,andhra-pradesh
195,Others,362484,323951101.6,3,2022,andhra-pradesh
196,Merchant payments,321632104,2.12E+11,4,2022,andhra-pradesh
197,Peer-to-peer payments,315734006,1.17E+12,4,2022,andhra-pradesh
198,Recharge & bill payments,52098850,41986837706,4,2022,andhra-pradesh
199,Financial Services,206459,250596592.1,4,2022,andhra-pradesh
200,Others,345658,339211363,4,2022,andhra-pradesh
201,Recharge & bill payments,28729,5184132.515,1,2018,arunachal-pradesh
202,Peer-to-peer payments,13320,82889682.72,1,2018,arunachal-pradesh
203,Merchant payments,1042,2420374.191,1,2018,arunachal-pradesh
204,Financial Services,416,58893.76202,1,2018,arunachal-pradesh
205,Others,1990,1834252.818,1,2018,arunachal-pradesh
206,Recharge & bill payments,50700,10468878.54,2,2018,arunachal-pradesh
207,Peer-to-peer payments,26477,181576281.2,2,2018,arunachal-pradesh
208,Merchant payments,2378,4718953.44,2,2018,arunachal-pradesh
209,Financial Services,559,363761.8016,2,2018,arunachal-pradesh
210,Others,2043,1842317.369,2,2018,arunachal-pradesh
211,Recharge & bill payments,74122,15997565.91,3,2018,arunachal-pradesh
212,Peer-to-peer payments,49740,308106303.5,3,2018,arunachal-pradesh
213,Merchant payments,4738,5505694.568,3,2018,arunachal-pradesh
214,Financial Services,507,72133.84525,3,2018,arunachal-pradesh
215,Others,2039,2044708.969,3,2018,arunachal-pradesh
216,Recharge & bill payments,97751,20662691.88,4,2018,arunachal-pradesh
217,Peer-to-peer payments,68169,468831493.2,4,2018,arunachal-pradesh
218,Merchant payments,7726,11998974.1,4,2018,arunachal-pradesh
219,Financial Services,561,100597.9038,4,2018,arunachal-pradesh
220,Others,2222,2446271.969,4,2018,arunachal-pradesh
221,Recharge & bill payments,121303,26796895,1,2019,arunachal-pradesh
222,Peer-to-peer payments,93494,568554821.4,1,2019,arunachal-pradesh
223,Merchant payments,9214,11727218.4,1,2019,arunachal-pradesh
224,Financial Services,256,140622.8709,1,2019,arunachal-pradesh
225,Others,2239,2730548.598,1,2019,arunachal-pradesh
226,Recharge & bill payments,131988,30420803.41,2,2019,arunachal-pradesh
227,Peer-to-peer payments,106527,704237943.4,2,2019,arunachal-pradesh
228,Merchant payments,16828,13955724.13,2,2019,arunachal-pradesh
229,Financial Services,267,160660.8821,2,2019,arunachal-pradesh
230,Others,3046,3880742.524,2,2019,arunachal-pradesh
231,Recharge & bill payments,216228,50946104.94,3,2019,arunachal-pradesh
232,Peer-to-peer payments,133484,841037395.2,3,2019,arunachal-pradesh
233,Merchant payments,16900,17178248.07,3,2019,arunachal-pradesh
234,Financial Services,864,64089.1135,3,2019,arunachal-pradesh
235,Others,2758,3419197.418,3,2019,arunachal-pradesh
236,Recharge & bill payments,259183,63516906.09,4,2019,arunachal-pradesh
237,Peer-to-peer payments,177833,1100137448,4,2019,arunachal-pradesh
238,Merchant payments,19769,23192271.69,4,2019,arunachal-pradesh
239,Financial Services,314,305379.7988,4,2019,arunachal-pradesh
240,Others,2376,3421174.012,4,2019,arunachal-pradesh
241,Recharge & bill payments,329834,86011654.77,1,2020,arunachal-pradesh
242,Peer-to-peer payments,203429,1263912288,1,2020,arunachal-pradesh
243,Merchant payments,31181,28553052.13,1,2020,arunachal-pradesh
244,Financial Services,470,337812.9482,1,2020,arunachal-pradesh
245,Others,2261,2943873.067,1,2020,arunachal-pradesh
246,Recharge & bill payments,522495,145198528.2,2,2020,arunachal-pradesh
247,Peer-to-peer payments,247861,1630654426,2,2020,arunachal-pradesh
248,Merchant payments,35169,46446966.61,2,2020,arunachal-pradesh
249,Financial Services,1310,2655507.696,2,2020,arunachal-pradesh
250,Others,1939,1761404.402,2,2020,arunachal-pradesh
251,Recharge & bill payments,514907,153463816.2,3,2020,arunachal-pradesh
252,Peer-to-peer payments,370418,2361603431,3,2020,arunachal-pradesh
253,Merchant payments,72736,88145178.69,3,2020,arunachal-pradesh
254,Financial Services,1761,4030599.917,3,2020,arunachal-pradesh
255,Others,3005,2695539.361,3,2020,arunachal-pradesh
256,Peer-to-peer payments,522019,3254744938,4,2020,arunachal-pradesh
257,Recharge & bill payments,513895,152389181.2,4,2020,arunachal-pradesh
258,Merchant payments,167387,156682926,4,2020,arunachal-pradesh
259,Financial Services,1749,2391651.878,4,2020,arunachal-pradesh
260,Others,4079,4055324.315,4,2020,arunachal-pradesh
261,Peer-to-peer payments,566209,3460488559,1,2021,arunachal-pradesh
262,Recharge & bill payments,450649,142358376.9,1,2021,arunachal-pradesh
263,Merchant payments,155966,204958020.1,1,2021,arunachal-pradesh
264,Financial Services,1558,2672460.474,1,2021,arunachal-pradesh
265,Others,3074,3301662.609,1,2021,arunachal-pradesh
266,Peer-to-peer payments,762946,4000960152,2,2021,arunachal-pradesh
267,Recharge & bill payments,556680,165579844.3,2,2021,arunachal-pradesh
268,Merchant payments,243375,283709438.5,2,2021,arunachal-pradesh
269,Financial Services,1582,2761076.793,2,2021,arunachal-pradesh
270,Others,3755,3415105.338,2,2021,arunachal-pradesh
271,Peer-to-peer payments,986088,5033603845,3,2021,arunachal-pradesh
272,Recharge & bill payments,600102,187390578.3,3,2021,arunachal-pradesh
273,Merchant payments,314658,449869060.8,3,2021,arunachal-pradesh
274,Financial Services,1934,3348547.827,3,2021,arunachal-pradesh
275,Others,4185,3912143.35,3,2021,arunachal-pradesh
276,Peer-to-peer payments,1227616,6022733378,4,2021,arunachal-pradesh
277,Recharge & bill payments,633248,207784816.3,4,2021,arunachal-pradesh
278,Merchant payments,521447,704195695,4,2021,arunachal-pradesh
279,Financial Services,2386,3933557.28,4,2021,arunachal-pradesh
280,Others,5901,4862905.886,4,2021,arunachal-pradesh
281,Peer-to-peer payments,1403584,6670641250,1,2022,arunachal-pradesh
282,Merchant payments,720803,917155358.7,1,2022,arunachal-pradesh
283,Recharge & bill payments,670576,231933129,1,2022,arunachal-pradesh
284,Financial Services,3053,3359625.793,1,2022,arunachal-pradesh
285,Others,6052,5002264.113,1,2022,arunachal-pradesh
286,Peer-to-peer payments,1751568,7627061475,2,2022,arunachal-pradesh
287,Merchant payments,1108353,1255513517,2,2022,arunachal-pradesh
288,Recharge & bill payments,688770,241162643.2,2,2022,arunachal-pradesh
289,Financial Services,2466,4063469.1,2,2022,arunachal-pradesh
290,Others,5768,3864269.88,2,2022,arunachal-pradesh
291,Peer-to-peer payments,1967086,7365427284,3,2022,arunachal-pradesh
292,Merchant payments,1316326,1413247143,3,2022,arunachal-pradesh
293,Recharge & bill payments,649322,238448083.8,3,2022,arunachal-pradesh
294,Financial Services,1997,4763324.776,3,2022,arunachal-pradesh
295,Others,4687,3224948.702,3,2022,arunachal-pradesh
296,Peer-to-peer payments,2251135,7768088688,4,2022,arunachal-pradesh
297,Merchant payments,1704968,1669602213,4,2022,arunachal-pradesh
298,Recharge & bill payments,669151,239412553.6,4,2022,arunachal-pradesh
299,Financial Services,2617,3785469.399,4,2022,arunachal-pradesh
300,Others,4838,4020773.895,4,2022,arunachal-pradesh
301,Recharge & bill payments,632092,93491181.14,1,2018,assam
302,Peer-to-peer payments,318025,993525196,1,2018,assam
303,Merchant payments,40482,34501622.89,1,2018,assam
304,Financial Services,18172,4936862.201,1,2018,assam
305,Others,48110,31349594,1,2018,assam
306,Recharge & bill payments,984160,174427478.2,2,2018,assam
307,Peer-to-peer payments,530781,2064314053,2,2018,assam
308,Merchant payments,79307,73366344.81,2,2018,assam
309,Financial Services,22773,7051504.658,2,2018,assam
310,Others,46852,31425754.73,2,2018,assam
311,Recharge & bill payments,1275136,254569069.3,3,2018,assam
312,Peer-to-peer payments,843571,3424136710,3,2018,assam
313,Merchant payments,159532,96783839.37,3,2018,assam
314,Financial Services,22677,4741123.822,3,2018,assam
315,Others,50935,30904247.88,3,2018,assam
316,Recharge & bill payments,1703488,317661277.3,4,2018,assam
317,Peer-to-peer payments,1279089,5284776455,4,2018,assam
318,Merchant payments,667293,240563395.3,4,2018,assam
319,Financial Services,28035,6331912.527,4,2018,assam
320,Others,56267,38689818.79,4,2018,assam
321,Recharge & bill payments,1993220,400281677.9,1,2019,assam
322,Peer-to-peer payments,1976310,7291433301,1,2019,assam
323,Merchant payments,494871,266644645.7,1,2019,assam
324,Financial Services,20162,4612454.113,1,2019,assam
325,Others,48442,39127457.94,1,2019,assam
326,Recharge & bill payments,2512932,539315772.9,2,2019,assam
327,Peer-to-peer payments,2293770,10035232821,2,2019,assam
328,Merchant payments,573646,326844709.6,2,2019,assam
329,Financial Services,13654,4037222.414,2,2019,assam
330,Others,60927,49538663.41,2,2019,assam
331,Peer-to-peer payments,2713539,11835800855,3,2019,assam
332,Recharge & bill payments,2645302,639885372.7,3,2019,assam
333,Merchant payments,513728,421380275.4,3,2019,assam
334,Financial Services,8606,6403456.345,3,2019,assam
335,Others,61396,46973660.74,3,2019,assam
336,Peer-to-peer payments,3222143,14083346879,4,2019,assam
337,Recharge & bill payments,2937800,704118874,4,2019,assam
338,Merchant payments,544053,456318130.1,4,2019,assam
339,Financial Services,9621,3492255.086,4,2019,assam
340,Others,46893,34707757.01,4,2019,assam
341,Peer-to-peer payments,4058740,18977446152,1,2020,assam
342,Recharge & bill payments,3897975,971722606.2,1,2020,assam
343,Merchant payments,792646,675423853,1,2020,assam
344,Financial Services,10173,7054325.508,1,2020,assam
345,Others,49326,36781411.34,1,2020,assam
346,Recharge & bill payments,6045321,1612522829,2,2020,assam
347,Peer-to-peer payments,3648386,17358374071,2,2020,assam
348,Merchant payments,742400,749018053.2,2,2020,assam
349,Financial Services,19814,18130004.69,2,2020,assam
350,Others,49278,28255168.01,2,2020,assam
351,Peer-to-peer payments,5637893,26646565777,3,2020,assam
352,Recharge & bill payments,5292154,1627282416,3,2020,assam
353,Merchant payments,1383230,1492484153,3,2020,assam
354,Financial Services,24954,28452966.03,3,2020,assam
355,Others,59480,36605946.75,3,2020,assam
356,Peer-to-peer payments,7538478,36013292451,4,2020,assam
357,Recharge & bill payments,5383505,1662189124,4,2020,assam
358,Merchant payments,2392184,2466913306,4,2020,assam
359,Financial Services,29764,32314809.98,4,2020,assam
360,Others,79523,51901628.47,4,2020,assam
361,Peer-to-peer payments,9449096,45476079487,1,2021,assam
362,Recharge & bill payments,6494111,2103017762,1,2021,assam
363,Merchant payments,3459132,3657261586,1,2021,assam
364,Financial Services,34049,41291047.38,1,2021,assam
365,Others,75672,48814663.89,1,2021,assam
366,Peer-to-peer payments,11668399,51521387891,2,2021,assam
367,Recharge & bill payments,9058005,2657676415,2,2021,assam
368,Merchant payments,4562669,4914753140,2,2021,assam
369,Financial Services,49671,46106001.5,2,2021,assam
370,Others,94161,52549929.27,2,2021,assam
371,Peer-to-peer payments,15617592,64131823895,3,2021,assam
372,Recharge & bill payments,10284267,3248364164,3,2021,assam
373,Merchant payments,7431371,8208706348,3,2021,assam
374,Financial Services,39479,43889820.5,3,2021,assam
375,Others,131732,67715045.34,3,2021,assam
376,Peer-to-peer payments,21393962,86801625127,4,2021,assam
377,Merchant payments,12895755,13378765006,4,2021,assam
378,Recharge & bill payments,11484376,3842004488,4,2021,assam
379,Financial Services,60724,65456475.83,4,2021,assam
380,Others,185544,97116796.58,4,2021,assam
381,Peer-to-peer payments,27156085,1.09E+11,1,2022,assam
382,Merchant payments,19011883,18833132506,1,2022,assam
383,Recharge & bill payments,12474674,4424035840,1,2022,assam
384,Financial Services,68432,73257991.39,1,2022,assam
385,Others,178812,94659207.47,1,2022,assam
386,Peer-to-peer payments,33879530,1.24E+11,2,2022,assam
387,Merchant payments,28377534,24333260090,2,2022,assam
388,Recharge & bill payments,13858113,4814695680,2,2022,assam
389,Financial Services,50785,55549153.74,2,2022,assam
390,Others,168763,77624058.02,2,2022,assam
391,Peer-to-peer payments,37000266,1.27E+11,3,2022,assam
392,Merchant payments,34935460,28789992307,3,2022,assam
393,Recharge & bill payments,13974568,5295136932,3,2022,assam
394,Financial Services,65066,62882386.46,3,2022,assam
395,Others,138451,76363577.27,3,2022,assam
396,Peer-to-peer payments,44828832,1.51E+11,4,2022,assam
397,Merchant payments,43605784,36033810142,4,2022,assam
398,Recharge & bill payments,15344794,5773980885,4,2022,assam
399,Financial Services,74414,75960367.92,4,2022,assam
400,Others,127443,76370123.6,4,2022,assam
401,Recharge & bill payments,3159922,375559206.8,1,2018,bihar
402,Peer-to-peer payments,2052089,5295346761,1,2018,bihar
403,Financial Services,194295,33999413.88,1,2018,bihar
404,Merchant payments,138885,139827755.7,1,2018,bihar
405,Others,279111,201025034.2,1,2018,bihar
406,Recharge & bill payments,4346849,700649777.1,2,2018,bihar
407,Peer-to-peer payments,3447898,12141448845,2,2018,bihar
408,Merchant payments,311487,318571872.8,2,2018,bihar
409,Financial Services,267433,45332532.1,2,2018,bihar
410,Others,258711,300128082.6,2,2018,bihar
411,Peer-to-peer payments,8893764,18695889188,3,2018,bihar
412,Recharge & bill payments,4401439,804061398.5,3,2018,bihar
413,Merchant payments,586862,367608510.7,3,2018,bihar
414,Financial Services,274510,33276460.45,3,2018,bihar
415,Others,211229,234968821.3,3,2018,bihar
416,Peer-to-peer payments,8094296,26224303883,4,2018,bihar
417,Recharge & bill payments,5469096,986310785,4,2018,bihar
418,Merchant payments,1680664,848968693.1,4,2018,bihar
419,Financial Services,237247,36199427.51,4,2018,bihar
420,Others,251098,302214380.2,4,2018,bihar
421,Peer-to-peer payments,16807040,38824078062,1,2019,bihar
422,Recharge & bill payments,7036367,1333688183,1,2019,bihar
423,Merchant payments,2055267,1024997000,1,2019,bihar
424,Financial Services,204689,28599535.73,1,2019,bihar
425,Others,252871,291464734.4,1,2019,bihar
426,Peer-to-peer payments,15837449,58381285241,2,2019,bihar
427,Recharge & bill payments,9279442,1996804238,2,2019,bihar
428,Merchant payments,4365465,2308145850,2,2019,bihar
429,Financial Services,129603,63338108.54,2,2019,bihar
430,Others,348520,382864846.1,2,2019,bihar
431,Peer-to-peer payments,15446119,61831776093,3,2019,bihar
432,Recharge & bill payments,9115040,2140566975,3,2019,bihar
433,Merchant payments,7206001,3413490288,3,2019,bihar
434,Financial Services,89997,20145460.43,3,2019,bihar
435,Others,282743,286804437.7,3,2019,bihar
